"TIME","GEO","INDIC_SB","SIZECLAS","NACE_R2","Value"
"2018","BG33","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","26,542"
"2018","BG33","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","22,027"
"2018","BG33","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","4,092"
"2018","BG331","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","17,360"
"2018","BG331","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","13,365"
"2018","BG331","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","2,523"
"2018","BG332","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","4,216"
"2018","BG332","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","3,824"
"2018","BG332","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","599"
"2018","BG333","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","3,258"
"2018","BG333","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,947"
"2018","BG333","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","595"
"2018","BG334","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","1,708"
"2018","BG334","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","1,891"
"2018","BG334","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","375"
"2018","BG34","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","28,100"
"2018","BG34","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","25,209"
"2018","BG34","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","4,189"
"2018","BG341","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","15,126"
"2018","BG341","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","13,386"
"2018","BG341","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","1,947"
"2018","BG342","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","3,378"
"2018","BG342","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","3,055"
"2018","BG342","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","559"
"2018","BG343","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","2,355"
"2018","BG343","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,201"
"2018","BG343","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","411"
"2018","BG344","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","7,241"
"2018","BG344","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","6,567"
"2018","BG344","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","1,272"
"2018","BG4","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","115,581"
"2018","BG4","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","107,576"
"2018","BG4","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","19,589"
"2018","BG41","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","82,445"
"2018","BG41","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","74,332"
"2018","BG41","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","13,457"
"2018","BG411","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","62,627"
"2018","BG411","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","54,067"
"2018","BG411","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","10,127"
"2018","BG412","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","4,193"
"2018","BG412","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","4,653"
"2018","BG412","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","854"
"2018","BG413","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","10,619"
"2018","BG413","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","10,016"
"2018","BG413","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","1,583"
"2018","BG414","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","2,414"
"2018","BG414","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,561"
"2018","BG414","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","449"
"2018","BG415","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","2,592"
"2018","BG415","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","3,035"
"2018","BG415","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","444"
"2018","BG42","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","33,136"
"2018","BG42","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","33,244"
"2018","BG42","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","6,132"
"2018","BG421","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","18,452"
"2018","BG421","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","17,734"
"2018","BG421","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","3,316"
"2018","BG422","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","5,610"
"2018","BG422","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","5,291"
"2018","BG422","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","847"
"2018","BG423","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","4,337"
"2018","BG423","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","5,187"
"2018","BG423","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","989"
"2018","BG424","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","2,291"
"2018","BG424","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,630"
"2018","BG424","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","492"
"2018","BG425","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","2,446"
"2018","BG425","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","2,402"
"2018","BG425","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","488"
"2018","BGZ","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","0"
"2018","BGZ","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","0"
"2018","BGZ","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","0"
"2018","BGZZ","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","0"
"2018","BGZZ","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","0"
"2018","BGZZ","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","0"
"2018","BGZZZ","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","0"
"2018","BGZZZ","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","0"
"2018","BGZZZ","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","0"
"2018","CZ","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","939,976"
"2018","CZ","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","209,596"
"2018","CZ","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","41,078"
"2018","CZ0","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","939,976"
"2018","CZ0","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","209,596"
"2018","CZ0","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","41,078"
"2018","CZ01","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","213,042"
"2018","CZ01","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","57,424"
"2018","CZ01","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","11,122"
"2018","CZ010","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","213,042"
"2018","CZ010","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","57,424"
"2018","CZ010","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","11,122"
"2018","CZ02","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","124,107"
"2018","CZ02","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","20,059"
"2018","CZ02","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","3,663"
"2018","CZ020","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","124,107"
"2018","CZ020","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","20,059"
"2018","CZ020","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","3,663"
"2018","CZ03","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","96,892"
"2018","CZ03","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","19,240"
"2018","CZ03","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","3,911"
"2018","CZ031","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","52,393"
"2018","CZ031","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","10,457"
"2018","CZ031","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","1,988"
"2018","CZ032","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","44,499"
"2018","CZ032","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","8,783"
"2018","CZ032","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","1,923"
"2018","CZ04","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","71,590"
"2018","CZ04","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","16,170"
"2018","CZ04","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","2,936"
"2018","CZ041","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","20,691"
"2018","CZ041","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","4,586"
"2018","CZ041","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","886"
"2018","CZ042","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","50,899"
"2018","CZ042","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","11,584"
"2018","CZ042","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","2,050"
"2018","CZ05","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","122,213"
"2018","CZ05","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","23,568"
"2018","CZ05","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","4,789"
"2018","CZ051","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","36,221"
"2018","CZ051","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","6,873"
"2018","CZ051","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","1,336"
"2018","CZ052","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","45,782"
"2018","CZ052","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","8,872"
"2018","CZ052","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","1,731"
"2018","CZ053","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","40,210"
"2018","CZ053","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","7,823"
"2018","CZ053","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","1,722"
"2018","CZ06","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","142,386"
"2018","CZ06","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","32,453"
"2018","CZ06","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","6,597"
"2018","CZ063","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","37,962"
"2018","CZ063","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","7,052"
"2018","CZ063","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","1,522"
"2018","CZ064","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","104,424"
"2018","CZ064","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","25,401"
"2018","CZ064","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","5,075"
"2018","CZ07","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","90,401"
"2018","CZ07","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","20,639"
"2018","CZ07","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","4,275"
"2018","CZ071","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","44,049"
"2018","CZ071","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","10,444"
"2018","CZ071","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","2,026"
"2018","CZ072","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","46,352"
"2018","CZ072","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","10,195"
"2018","CZ072","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","2,249"
"2018","CZ08","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","79,345"
"2018","CZ08","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","20,043"
"2018","CZ08","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","3,785"
"2018","CZ080","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","79,345"
"2018","CZ080","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","20,043"
"2018","CZ080","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","3,785"
"2018","CZZ","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","0"
"2018","CZZ","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","0"
"2018","CZZ","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","0"
"2018","CZZZ","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","0"
"2018","CZZZ","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","0"
"2018","CZZZ","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","0"
"2018","CZZZZ","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies","0"
"2018","CZZZZ","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies","0"
"2018","CZZZZ","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies","0"
"2018","DK","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK0","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK0","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK0","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK01","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK01","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK01","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK011","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK011","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK011","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK012","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK012","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK012","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK013","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK013","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK013","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK014","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK014","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK014","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK02","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK02","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK02","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK021","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK021","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK021","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK022","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK022","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK022","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK03","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK03","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK03","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK031","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK031","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK031","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK032","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK032","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK032","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK04","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK04","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK04","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK041","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK041","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK041","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK042","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK042","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK042","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK05","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK05","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK05","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK050","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK050","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
"2018","DK050","Population of active enterprises in t - number","10 employees or more","Industry, construction and services except insurance activities of holding companies",":"
"2018","DKZ","Population of active enterprises in t - number","Zero","Industry, construction and services except insurance activities of holding companies",":"
"2018","DKZ","Population of active enterprises in t - number","From 1 to 9 employees","Industry, construction and services except insurance activities of holding companies",":"
