"TIME","GEO","GEO_LABEL","AGE","SEX","UNIT","Value"
"2019","BG42","Yuzhen tsentralen","25 years or over","Males","Percentage","3.1"
"2019","BG42","Yuzhen tsentralen","25 years or over","Females","Percentage","2.7"
"2019","CZ","Czechia","25 years or over","Total","Percentage","1.8"
"2019","CZ","Czechia","25 years or over","Males","Percentage","1.5"
"2019","CZ","Czechia","25 years or over","Females","Percentage","2.2"
"2019","CZ0","Cesko","25 years or over","Total","Percentage","1.8"
"2019","CZ0","Cesko","25 years or over","Males","Percentage","1.5"
"2019","CZ0","Cesko","25 years or over","Females","Percentage","2.2"
"2019","CZ01","Praha","25 years or over","Total","Percentage","1.2"
"2019","CZ01","Praha","25 years or over","Males","Percentage","1.0"
"2019","CZ01","Praha","25 years or over","Females","Percentage","1.4"
"2019","CZ02","Strední Cechy","25 years or over","Total","Percentage","1.2"
"2019","CZ02","Strední Cechy","25 years or over","Males","Percentage","1.0"
"2019","CZ02","Strední Cechy","25 years or over","Females","Percentage","1.4"
"2019","CZ03","Jihozápad","25 years or over","Total","Percentage","1.3"
"2019","CZ03","Jihozápad","25 years or over","Males","Percentage","1.1"
"2019","CZ03","Jihozápad","25 years or over","Females","Percentage","1.7"
"2019","CZ04","Severozápad","25 years or over","Total","Percentage","2.7"
"2019","CZ04","Severozápad","25 years or over","Males","Percentage","2.1"
"2019","CZ04","Severozápad","25 years or over","Females","Percentage","3.3"
"2019","CZ05","Severovýchod","25 years or over","Total","Percentage","1.6"
"2019","CZ05","Severovýchod","25 years or over","Males","Percentage","1.4"
"2019","CZ05","Severovýchod","25 years or over","Females","Percentage","1.9"
"2019","CZ06","Jihovýchod","25 years or over","Total","Percentage","1.7"
"2019","CZ06","Jihovýchod","25 years or over","Males","Percentage","1.1"
"2019","CZ06","Jihovýchod","25 years or over","Females","Percentage","2.5"
"2019","CZ07","Strední Morava","25 years or over","Total","Percentage","1.8"
"2019","CZ07","Strední Morava","25 years or over","Males","Percentage","1.8"
"2019","CZ07","Strední Morava","25 years or over","Females","Percentage","1.9"
"2019","CZ08","Moravskoslezsko","25 years or over","Total","Percentage","3.3"
"2019","CZ08","Moravskoslezsko","25 years or over","Males","Percentage","3.1"
"2019","CZ08","Moravskoslezsko","25 years or over","Females","Percentage","3.6"
"2019","DK","Denmark","25 years or over","Total","Percentage","4.2"
"2019","DK","Denmark","25 years or over","Males","Percentage","3.9"
"2019","DK","Denmark","25 years or over","Females","Percentage","4.5"
"2019","DK0","Danmark","25 years or over","Total","Percentage","4.2"
"2019","DK0","Danmark","25 years or over","Males","Percentage","3.9"
"2019","DK0","Danmark","25 years or over","Females","Percentage","4.5"
"2019","DK01","Hovedstaden","25 years or over","Total","Percentage","4.4"
"2019","DK01","Hovedstaden","25 years or over","Males","Percentage","4.1"
"2019","DK01","Hovedstaden","25 years or over","Females","Percentage","4.7"
"2019","DK02","Sjælland","25 years or over","Total","Percentage","3.8"
"2019","DK02","Sjælland","25 years or over","Males","Percentage","3.5"
"2019","DK02","Sjælland","25 years or over","Females","Percentage","4.1"
"2019","DK03","Syddanmark","25 years or over","Total","Percentage","3.9"
"2019","DK03","Syddanmark","25 years or over","Males","Percentage","3.7"
"2019","DK03","Syddanmark","25 years or over","Females","Percentage","4.1"
"2019","DK04","Midtjylland","25 years or over","Total","Percentage","4.0"
"2019","DK04","Midtjylland","25 years or over","Males","Percentage","3.8"
"2019","DK04","Midtjylland","25 years or over","Females","Percentage","4.2"
"2019","DK05","Nordjylland","25 years or over","Total","Percentage","4.8"
"2019","DK05","Nordjylland","25 years or over","Males","Percentage","4.2"
"2019","DK05","Nordjylland","25 years or over","Females","Percentage","5.6"
"2019","DE","Germany (until 1990 former territory of the FRG)","25 years or over","Total","Percentage","2.8"
"2019","DE","Germany (until 1990 former territory of the FRG)","25 years or over","Males","Percentage","3.1"
"2019","DE","Germany (until 1990 former territory of the FRG)","25 years or over","Females","Percentage","2.5"
"2019","DE1","Baden-Württemberg","25 years or over","Total","Percentage","2.1"
"2019","DE1","Baden-Württemberg","25 years or over","Males","Percentage","2.2"
"2019","DE1","Baden-Württemberg","25 years or over","Females","Percentage","1.9"
"2019","DE11","Stuttgart","25 years or over","Total","Percentage","2.1"
"2019","DE11","Stuttgart","25 years or over","Males","Percentage","2.2"
"2019","DE11","Stuttgart","25 years or over","Females","Percentage","1.8"
"2019","DE12","Karlsruhe","25 years or over","Total","Percentage","2.5"
"2019","DE12","Karlsruhe","25 years or over","Males","Percentage","2.5"
"2019","DE12","Karlsruhe","25 years or over","Females","Percentage","2.4"
"2019","DE13","Freiburg","25 years or over","Total","Percentage","1.9"
"2019","DE13","Freiburg","25 years or over","Males","Percentage","2.0"
"2019","DE13","Freiburg","25 years or over","Females","Percentage","1.8"
"2019","DE14","Tübingen","25 years or over","Total","Percentage","1.6"
"2019","DE14","Tübingen","25 years or over","Males","Percentage","1.7"
"2019","DE14","Tübingen","25 years or over","Females","Percentage","1.4"
"2019","DE2","Bayern","25 years or over","Total","Percentage","1.8"
"2019","DE2","Bayern","25 years or over","Males","Percentage","1.8"
"2019","DE2","Bayern","25 years or over","Females","Percentage","1.8"
"2019","DE21","Oberbayern","25 years or over","Total","Percentage","1.8"
"2019","DE21","Oberbayern","25 years or over","Males","Percentage","1.9"
"2019","DE21","Oberbayern","25 years or over","Females","Percentage","1.7"
"2019","DE22","Niederbayern","25 years or over","Total","Percentage","1.8"
"2019","DE22","Niederbayern","25 years or over","Males","Percentage","1.7"
"2019","DE22","Niederbayern","25 years or over","Females","Percentage",":"
"2019","DE23","Oberpfalz","25 years or over","Total","Percentage","2.1"
"2019","DE23","Oberpfalz","25 years or over","Males","Percentage","2.1"
"2019","DE23","Oberpfalz","25 years or over","Females","Percentage",":"
"2019","DE24","Oberfranken","25 years or over","Total","Percentage","2.0"
"2019","DE24","Oberfranken","25 years or over","Males","Percentage","2.1"
"2019","DE24","Oberfranken","25 years or over","Females","Percentage",":"
"2019","DE25","Mittelfranken","25 years or over","Total","Percentage","1.8"
"2019","DE25","Mittelfranken","25 years or over","Males","Percentage","1.7"
"2019","DE25","Mittelfranken","25 years or over","Females","Percentage","2.0"
"2019","DE26","Unterfranken","25 years or over","Total","Percentage","1.7"
"2019","DE26","Unterfranken","25 years or over","Males","Percentage","1.5"
"2019","DE26","Unterfranken","25 years or over","Females","Percentage","2.1"
"2019","DE27","Schwaben","25 years or over","Total","Percentage","2.0"
"2019","DE27","Schwaben","25 years or over","Males","Percentage","1.9"
"2019","DE27","Schwaben","25 years or over","Females","Percentage","2.0"
"2019","DE3","Berlin","25 years or over","Total","Percentage","4.9"
"2019","DE3","Berlin","25 years or over","Males","Percentage","5.2"
"2019","DE3","Berlin","25 years or over","Females","Percentage","4.6"
"2019","DE30","Berlin","25 years or over","Total","Percentage","4.9"
"2019","DE30","Berlin","25 years or over","Males","Percentage","5.2"
"2019","DE30","Berlin","25 years or over","Females","Percentage","4.6"
"2019","DE4","Brandenburg","25 years or over","Total","Percentage","3.1"
"2019","DE4","Brandenburg","25 years or over","Males","Percentage","3.7"
"2019","DE4","Brandenburg","25 years or over","Females","Percentage","2.5"
"2019","DE40","Brandenburg","25 years or over","Total","Percentage","3.1"
"2019","DE40","Brandenburg","25 years or over","Males","Percentage","3.7"
"2019","DE40","Brandenburg","25 years or over","Females","Percentage","2.5"
"2019","DE5","Bremen","25 years or over","Total","Percentage","4.6"
"2019","DE5","Bremen","25 years or over","Males","Percentage","6.1"
"2019","DE5","Bremen","25 years or over","Females","Percentage",":"
"2019","DE50","Bremen","25 years or over","Total","Percentage","4.6"
"2019","DE50","Bremen","25 years or over","Males","Percentage","6.1"
"2019","DE50","Bremen","25 years or over","Females","Percentage",":"
"2019","DE6","Hamburg","25 years or over","Total","Percentage","3.2"
"2019","DE6","Hamburg","25 years or over","Males","Percentage","3.4"
"2019","DE6","Hamburg","25 years or over","Females","Percentage","2.9"
"2019","DE60","Hamburg","25 years or over","Total","Percentage","3.2"
"2019","DE60","Hamburg","25 years or over","Males","Percentage","3.4"
"2019","DE60","Hamburg","25 years or over","Females","Percentage","2.9"
"2019","DE7","Hessen","25 years or over","Total","Percentage","2.7"
"2019","DE7","Hessen","25 years or over","Males","Percentage","2.9"
"2019","DE7","Hessen","25 years or over","Females","Percentage","2.4"
"2019","DE71","Darmstadt","25 years or over","Total","Percentage","2.7"
"2019","DE71","Darmstadt","25 years or over","Males","Percentage","2.8"
"2019","DE71","Darmstadt","25 years or over","Females","Percentage","2.6"
"2019","DE72","Gießen","25 years or over","Total","Percentage","2.9"
"2019","DE72","Gießen","25 years or over","Males","Percentage","3.5"
"2019","DE72","Gießen","25 years or over","Females","Percentage",":"
"2019","DE73","Kassel","25 years or over","Total","Percentage","2.4"
"2019","DE73","Kassel","25 years or over","Males","Percentage","2.7"
"2019","DE73","Kassel","25 years or over","Females","Percentage","2.0"
"2019","DE8","Mecklenburg-Vorpommern","25 years or over","Total","Percentage","3.6"
"2019","DE8","Mecklenburg-Vorpommern","25 years or over","Males","Percentage","4.0"
"2019","DE8","Mecklenburg-Vorpommern","25 years or over","Females","Percentage","3.2"
"2019","DE80","Mecklenburg-Vorpommern","25 years or over","Total","Percentage","3.6"
"2019","DE80","Mecklenburg-Vorpommern","25 years or over","Males","Percentage","4.0"
"2019","DE80","Mecklenburg-Vorpommern","25 years or over","Females","Percentage","3.2"
"2019","DE9","Niedersachsen","25 years or over","Total","Percentage","2.7"
"2019","DE9","Niedersachsen","25 years or over","Males","Percentage","3.2"
"2019","DE9","Niedersachsen","25 years or over","Females","Percentage","2.2"
"2019","DE91","Braunschweig","25 years or over","Total","Percentage","3.0"
"2019","DE91","Braunschweig","25 years or over","Males","Percentage","3.2"
"2019","DE91","Braunschweig","25 years or over","Females","Percentage","2.7"
"2019","DE92","Hannover","25 years or over","Total","Percentage","3.0"
"2019","DE92","Hannover","25 years or over","Males","Percentage","3.9"
"2019","DE92","Hannover","25 years or over","Females","Percentage","2.0"
"2019","DE93","Lüneburg","25 years or over","Total","Percentage","2.3"
"2019","DE93","Lüneburg","25 years or over","Males","Percentage","2.7"
"2019","DE93","Lüneburg","25 years or over","Females","Percentage","1.8"
"2019","DE94","Weser-Ems","25 years or over","Total","Percentage","2.6"
"2019","DE94","Weser-Ems","25 years or over","Males","Percentage","2.9"
"2019","DE94","Weser-Ems","25 years or over","Females","Percentage","2.2"
"2019","DEA","Nordrhein-Westfalen","25 years or over","Total","Percentage","3.3"
"2019","DEA","Nordrhein-Westfalen","25 years or over","Males","Percentage","3.9"
"2019","DEA","Nordrhein-Westfalen","25 years or over","Females","Percentage","2.7"
"2019","DEA1","Düsseldorf","25 years or over","Total","Percentage","3.5"
"2019","DEA1","Düsseldorf","25 years or over","Males","Percentage","4.0"
"2019","DEA1","Düsseldorf","25 years or over","Females","Percentage","2.9"
"2019","DEA2","Köln","25 years or over","Total","Percentage","3.2"
"2019","DEA2","Köln","25 years or over","Males","Percentage","3.9"
"2019","DEA2","Köln","25 years or over","Females","Percentage","2.4"
"2019","DEA3","Münster","25 years or over","Total","Percentage","3.2"
"2019","DEA3","Münster","25 years or over","Males","Percentage","3.8"
"2019","DEA3","Münster","25 years or over","Females","Percentage","2.5"
"2019","DEA4","Detmold","25 years or over","Total","Percentage","2.9"
"2019","DEA4","Detmold","25 years or over","Males","Percentage","3.3"
"2019","DEA4","Detmold","25 years or over","Females","Percentage","2.5"
"2019","DEA5","Arnsberg","25 years or over","Total","Percentage","3.6"
"2019","DEA5","Arnsberg","25 years or over","Males","Percentage","4.1"
"2019","DEA5","Arnsberg","25 years or over","Females","Percentage","3.0"
"2019","DEB","Rheinland-Pfalz","25 years or over","Total","Percentage","2.4"
"2019","DEB","Rheinland-Pfalz","25 years or over","Males","Percentage","2.6"
"2019","DEB","Rheinland-Pfalz","25 years or over","Females","Percentage","2.2"
"2019","DEB1","Koblenz","25 years or over","Total","Percentage","1.9"
"2019","DEB1","Koblenz","25 years or over","Males","Percentage","2.0"
"2019","DEB1","Koblenz","25 years or over","Females","Percentage","1.7"
"2019","DEB2","Trier","25 years or over","Total","Percentage",":"
"2019","DEB2","Trier","25 years or over","Males","Percentage",":"
"2019","DEB2","Trier","25 years or over","Females","Percentage",":"
"2019","DEB3","Rheinhessen-Pfalz","25 years or over","Total","Percentage","2.9"
"2019","DEB3","Rheinhessen-Pfalz","25 years or over","Males","Percentage","3.3"
"2019","DEB3","Rheinhessen-Pfalz","25 years or over","Females","Percentage","2.5"
"2019","DEC","Saarland","25 years or over","Total","Percentage","3.3"
"2019","DEC","Saarland","25 years or over","Males","Percentage","3.9"
"2019","DEC","Saarland","25 years or over","Females","Percentage","2.7"
"2019","DEC0","Saarland","25 years or over","Total","Percentage","3.3"
"2019","DEC0","Saarland","25 years or over","Males","Percentage","3.9"
"2019","DEC0","Saarland","25 years or over","Females","Percentage","2.7"
"2019","DED","Sachsen","25 years or over","Total","Percentage","3.6"
"2019","DED","Sachsen","25 years or over","Males","Percentage","3.8"
"2019","DED","Sachsen","25 years or over","Females","Percentage","3.4"
"2019","DED2","Dresden","25 years or over","Total","Percentage","3.3"
"2019","DED2","Dresden","25 years or over","Males","Percentage","3.2"
"2019","DED2","Dresden","25 years or over","Females","Percentage","3.4"
"2019","DED4","Chemnitz","25 years or over","Total","Percentage","3.4"
"2019","DED4","Chemnitz","25 years or over","Males","Percentage","3.8"
"2019","DED4","Chemnitz","25 years or over","Females","Percentage","3.0"
"2019","DED5","Leipzig","25 years or over","Total","Percentage","4.5"
"2019","DED5","Leipzig","25 years or over","Males","Percentage","4.8"
"2019","DED5","Leipzig","25 years or over","Females","Percentage","4.1"
"2019","DEE","Sachsen-Anhalt","25 years or over","Total","Percentage","4.4"
"2019","DEE","Sachsen-Anhalt","25 years or over","Males","Percentage","4.8"
"2019","DEE","Sachsen-Anhalt","25 years or over","Females","Percentage","4.1"
"2019","DEE0","Sachsen-Anhalt","25 years or over","Total","Percentage","4.4"
"2019","DEE0","Sachsen-Anhalt","25 years or over","Males","Percentage","4.8"
"2019","DEE0","Sachsen-Anhalt","25 years or over","Females","Percentage","4.1"
"2019","DEF","Schleswig-Holstein","25 years or over","Total","Percentage","2.5"
"2019","DEF","Schleswig-Holstein","25 years or over","Males","Percentage","2.8"
"2019","DEF","Schleswig-Holstein","25 years or over","Females","Percentage","2.1"
"2019","DEF0","Schleswig-Holstein","25 years or over","Total","Percentage","2.5"
"2019","DEF0","Schleswig-Holstein","25 years or over","Males","Percentage","2.8"
"2019","DEF0","Schleswig-Holstein","25 years or over","Females","Percentage","2.1"
"2019","DEG","Thüringen","25 years or over","Total","Percentage","3.4"
"2019","DEG","Thüringen","25 years or over","Males","Percentage","3.7"
"2019","DEG","Thüringen","25 years or over","Females","Percentage","3.1"
"2019","DEG0","Thüringen","25 years or over","Total","Percentage","3.4"
"2019","DEG0","Thüringen","25 years or over","Males","Percentage","3.7"
"2019","DEG0","Thüringen","25 years or over","Females","Percentage","3.1"
"2019","EE","Estonia","25 years or over","Total","Percentage","3.9"
"2019","EE","Estonia","25 years or over","Males","Percentage","3.5"
"2019","EE","Estonia","25 years or over","Females","Percentage","4.3"
"2019","EE0","Eesti","25 years or over","Total","Percentage","3.9"
"2019","EE0","Eesti","25 years or over","Males","Percentage","3.5"
"2019","EE0","Eesti","25 years or over","Females","Percentage","4.3"
"2019","EE00","Eesti","25 years or over","Total","Percentage","3.9"
"2019","EE00","Eesti","25 years or over","Males","Percentage","3.5"
"2019","EE00","Eesti","25 years or over","Females","Percentage","4.3"
"2019","IE","Ireland","25 years or over","Total","Percentage","3.9"
"2019","IE","Ireland","25 years or over","Males","Percentage","4.0"
"2019","IE","Ireland","25 years or over","Females","Percentage","3.8"
"2019","IE0","Éire/Ireland","25 years or over","Total","Percentage","3.9"
"2019","IE0","Éire/Ireland","25 years or over","Males","Percentage","4.0"
"2019","IE0","Éire/Ireland","25 years or over","Females","Percentage","3.8"
"2019","IE04","Northern and Western","25 years or over","Total","Percentage","3.7"
"2019","IE04","Northern and Western","25 years or over","Males","Percentage","3.6"
"2019","IE04","Northern and Western","25 years or over","Females","Percentage","3.9"
"2019","IE05","Southern","25 years or over","Total","Percentage","4.4"
"2019","IE05","Southern","25 years or over","Males","Percentage","4.6"
"2019","IE05","Southern","25 years or over","Females","Percentage","4.1"
"2019","IE06","Eastern and Midland","25 years or over","Total","Percentage","3.7"
"2019","IE06","Eastern and Midland","25 years or over","Males","Percentage","3.8"
"2019","IE06","Eastern and Midland","25 years or over","Females","Percentage","3.7"
"2019","IE01","Border, Midland and Western (NUTS 2013)","25 years or over","Total","Percentage",":"
"2019","IE01","Border, Midland and Western (NUTS 2013)","25 years or over","Males","Percentage",":"
"2019","IE01","Border, Midland and Western (NUTS 2013)","25 years or over","Females","Percentage",":"
"2019","IE02","Southern and Eastern (NUTS 2013)","25 years or over","Total","Percentage",":"
"2019","IE02","Southern and Eastern (NUTS 2013)","25 years or over","Males","Percentage",":"
"2019","IE02","Southern and Eastern (NUTS 2013)","25 years or over","Females","Percentage",":"
"2019","EL","Greece","25 years or over","Total","Percentage","16.4"
"2019","EL","Greece","25 years or over","Males","Percentage","13.0"
"2019","EL","Greece","25 years or over","Females","Percentage","20.6"
"2019","EL3","Attiki","25 years or over","Total","Percentage","16.2"
"2019","EL3","Attiki","25 years or over","Males","Percentage","13.3"
"2019","EL3","Attiki","25 years or over","Females","Percentage","19.5"
"2019","EL30","Attiki","25 years or over","Total","Percentage","16.2"
"2019","EL30","Attiki","25 years or over","Males","Percentage","13.3"
"2019","EL30","Attiki","25 years or over","Females","Percentage","19.5"
"2019","EL4","Nisia Aigaiou, Kriti","25 years or over","Total","Percentage","11.9"
"2019","EL4","Nisia Aigaiou, Kriti","25 years or over","Males","Percentage","8.9"
"2019","EL4","Nisia Aigaiou, Kriti","25 years or over","Females","Percentage","15.6"
"2019","EL41","Voreio Aigaio","25 years or over","Total","Percentage","15.5"
"2019","EL41","Voreio Aigaio","25 years or over","Males","Percentage","11.2"
"2019","EL41","Voreio Aigaio","25 years or over","Females","Percentage","21.4"
"2019","EL42","Notio Aigaio","25 years or over","Total","Percentage","12.4"
"2019","EL42","Notio Aigaio","25 years or over","Males","Percentage","9.0"
"2019","EL42","Notio Aigaio","25 years or over","Females","Percentage","16.8"
"2019","EL43","Kriti","25 years or over","Total","Percentage","10.5"
"2019","EL43","Kriti","25 years or over","Males","Percentage","8.1"
"2019","EL43","Kriti","25 years or over","Females","Percentage","13.4"
"2019","EL5","Voreia Ellada","25 years or over","Total","Percentage","18.3"
"2019","EL5","Voreia Ellada","25 years or over","Males","Percentage","14.6"
"2019","EL5","Voreia Ellada","25 years or over","Females","Percentage","23.0"
"2019","EL51","Anatoliki Makedonia, Thraki","25 years or over","Total","Percentage","14.7"
"2019","EL51","Anatoliki Makedonia, Thraki","25 years or over","Males","Percentage","11.8"
"2019","EL51","Anatoliki Makedonia, Thraki","25 years or over","Females","Percentage","18.5"
"2019","EL52","Kentriki Makedonia","25 years or over","Total","Percentage","19.2"
"2019","EL52","Kentriki Makedonia","25 years or over","Males","Percentage","15.3"
"2019","EL52","Kentriki Makedonia","25 years or over","Females","Percentage","24.1"
"2019","EL53","Dytiki Makedonia","25 years or over","Total","Percentage","23.0"
"2019","EL53","Dytiki Makedonia","25 years or over","Males","Percentage","16.9"
"2019","EL53","Dytiki Makedonia","25 years or over","Females","Percentage","30.9"
"2019","EL54","Ipeiros","25 years or over","Total","Percentage","15.5"
"2019","EL54","Ipeiros","25 years or over","Males","Percentage","13.6"
"2019","EL54","Ipeiros","25 years or over","Females","Percentage","18.0"
"2019","EL6","Kentriki Ellada","25 years or over","Total","Percentage","16.6"
"2019","EL6","Kentriki Ellada","25 years or over","Males","Percentage","12.7"
"2019","EL6","Kentriki Ellada","25 years or over","Females","Percentage","22.0"
"2019","EL61","Thessalia","25 years or over","Total","Percentage","17.2"
"2019","EL61","Thessalia","25 years or over","Males","Percentage","13.6"
"2019","EL61","Thessalia","25 years or over","Females","Percentage","21.9"
"2019","EL62","Ionia Nisia","25 years or over","Total","Percentage","11.9"
"2019","EL62","Ionia Nisia","25 years or over","Males","Percentage","8.5"
"2019","EL62","Ionia Nisia","25 years or over","Females","Percentage","16.3"
"2019","EL63","Dytiki Ellada","25 years or over","Total","Percentage","23.0"
"2019","EL63","Dytiki Ellada","25 years or over","Males","Percentage","18.3"
"2019","EL63","Dytiki Ellada","25 years or over","Females","Percentage","29.6"
"2019","EL64","Sterea Ellada","25 years or over","Total","Percentage","15.3"
"2019","EL64","Sterea Ellada","25 years or over","Males","Percentage","10.1"
"2019","EL64","Sterea Ellada","25 years or over","Females","Percentage","23.4"
"2019","EL65","Peloponnisos","25 years or over","Total","Percentage","11.3"
"2019","EL65","Peloponnisos","25 years or over","Males","Percentage","8.8"
"2019","EL65","Peloponnisos","25 years or over","Females","Percentage","14.5"
"2019","ES","Spain","25 years or over","Total","Percentage","12.8"
"2019","ES","Spain","25 years or over","Males","Percentage","11.1"
