"TIME","GEO","AGE","SEX","UNIT","Value"
"2019","BG33","25 years or over","Females","Percentage","6.3"
"2019","BG34","From 15 to 24 years","Total","Percentage",":"
"2019","BG34","From 15 to 24 years","Males","Percentage",":"
"2019","BG34","From 15 to 24 years","Females","Percentage",":"
"2019","BG34","25 years or over","Total","Percentage","3.8"
"2019","BG34","25 years or over","Males","Percentage","4.3"
"2019","BG34","25 years or over","Females","Percentage","3.1"
"2019","BG4","From 15 to 24 years","Total","Percentage","4.9"
"2019","BG4","From 15 to 24 years","Males","Percentage",":"
"2019","BG4","From 15 to 24 years","Females","Percentage",":"
"2019","BG4","25 years or over","Total","Percentage","2.4"
"2019","BG4","25 years or over","Males","Percentage","2.6"
"2019","BG4","25 years or over","Females","Percentage","2.2"
"2019","BG41","From 15 to 24 years","Total","Percentage",":"
"2019","BG41","From 15 to 24 years","Males","Percentage",":"
"2019","BG41","From 15 to 24 years","Females","Percentage",":"
"2019","BG41","25 years or over","Total","Percentage","2.2"
"2019","BG41","25 years or over","Males","Percentage","2.4"
"2019","BG41","25 years or over","Females","Percentage","1.9"
"2019","BG42","From 15 to 24 years","Total","Percentage",":"
"2019","BG42","From 15 to 24 years","Males","Percentage",":"
"2019","BG42","From 15 to 24 years","Females","Percentage",":"
"2019","BG42","25 years or over","Total","Percentage","2.9"
"2019","BG42","25 years or over","Males","Percentage","3.1"
"2019","BG42","25 years or over","Females","Percentage","2.7"
"2019","CZ","From 15 to 24 years","Total","Percentage","5.6"
"2019","CZ","From 15 to 24 years","Males","Percentage","5.4"
"2019","CZ","From 15 to 24 years","Females","Percentage","6.0"
"2019","CZ","25 years or over","Total","Percentage","1.8"
"2019","CZ","25 years or over","Males","Percentage","1.5"
"2019","CZ","25 years or over","Females","Percentage","2.2"
"2019","CZ0","From 15 to 24 years","Total","Percentage","5.6"
"2019","CZ0","From 15 to 24 years","Males","Percentage","5.4"
"2019","CZ0","From 15 to 24 years","Females","Percentage","6.0"
"2019","CZ0","25 years or over","Total","Percentage","1.8"
"2019","CZ0","25 years or over","Males","Percentage","1.5"
"2019","CZ0","25 years or over","Females","Percentage","2.2"
"2019","CZ01","From 15 to 24 years","Total","Percentage","3.3"
"2019","CZ01","From 15 to 24 years","Males","Percentage","3.9"
"2019","CZ01","From 15 to 24 years","Females","Percentage",":"
"2019","CZ01","25 years or over","Total","Percentage","1.2"
"2019","CZ01","25 years or over","Males","Percentage","1.0"
"2019","CZ01","25 years or over","Females","Percentage","1.4"
"2019","CZ02","From 15 to 24 years","Total","Percentage","3.6"
"2019","CZ02","From 15 to 24 years","Males","Percentage","3.9"
"2019","CZ02","From 15 to 24 years","Females","Percentage","3.2"
"2019","CZ02","25 years or over","Total","Percentage","1.2"
"2019","CZ02","25 years or over","Males","Percentage","1.0"
"2019","CZ02","25 years or over","Females","Percentage","1.4"
"2019","CZ03","From 15 to 24 years","Total","Percentage","4.7"
"2019","CZ03","From 15 to 24 years","Males","Percentage","3.6"
"2019","CZ03","From 15 to 24 years","Females","Percentage","6.5"
"2019","CZ03","25 years or over","Total","Percentage","1.3"
"2019","CZ03","25 years or over","Males","Percentage","1.1"
"2019","CZ03","25 years or over","Females","Percentage","1.7"
"2019","CZ04","From 15 to 24 years","Total","Percentage","7.8"
"2019","CZ04","From 15 to 24 years","Males","Percentage","7.5"
"2019","CZ04","From 15 to 24 years","Females","Percentage","8.2"
"2019","CZ04","25 years or over","Total","Percentage","2.7"
"2019","CZ04","25 years or over","Males","Percentage","2.1"
"2019","CZ04","25 years or over","Females","Percentage","3.3"
"2019","CZ05","From 15 to 24 years","Total","Percentage","2.8"
"2019","CZ05","From 15 to 24 years","Males","Percentage","3.5"
"2019","CZ05","From 15 to 24 years","Females","Percentage",":"
"2019","CZ05","25 years or over","Total","Percentage","1.6"
"2019","CZ05","25 years or over","Males","Percentage","1.4"
"2019","CZ05","25 years or over","Females","Percentage","1.9"
"2019","CZ06","From 15 to 24 years","Total","Percentage","5.4"
"2019","CZ06","From 15 to 24 years","Males","Percentage","5.9"
"2019","CZ06","From 15 to 24 years","Females","Percentage","4.8"
"2019","CZ06","25 years or over","Total","Percentage","1.7"
"2019","CZ06","25 years or over","Males","Percentage","1.1"
"2019","CZ06","25 years or over","Females","Percentage","2.5"
"2019","CZ07","From 15 to 24 years","Total","Percentage","9.0"
"2019","CZ07","From 15 to 24 years","Males","Percentage","7.2"
"2019","CZ07","From 15 to 24 years","Females","Percentage","11.7"
"2019","CZ07","25 years or over","Total","Percentage","1.8"
"2019","CZ07","25 years or over","Males","Percentage","1.8"
"2019","CZ07","25 years or over","Females","Percentage","1.9"
"2019","CZ08","From 15 to 24 years","Total","Percentage","8.7"
"2019","CZ08","From 15 to 24 years","Males","Percentage","7.4"
"2019","CZ08","From 15 to 24 years","Females","Percentage","10.5"
"2019","CZ08","25 years or over","Total","Percentage","3.3"
"2019","CZ08","25 years or over","Males","Percentage","3.1"
"2019","CZ08","25 years or over","Females","Percentage","3.6"
"2019","DK","From 15 to 24 years","Total","Percentage","10.1"
"2019","DK","From 15 to 24 years","Males","Percentage","10.4"
"2019","DK","From 15 to 24 years","Females","Percentage","9.7"
"2019","DK","25 years or over","Total","Percentage","4.2"
"2019","DK","25 years or over","Males","Percentage","3.9"
"2019","DK","25 years or over","Females","Percentage","4.5"
"2019","DK0","From 15 to 24 years","Total","Percentage","10.1"
"2019","DK0","From 15 to 24 years","Males","Percentage","10.4"
"2019","DK0","From 15 to 24 years","Females","Percentage","9.7"
"2019","DK0","25 years or over","Total","Percentage","4.2"
"2019","DK0","25 years or over","Males","Percentage","3.9"
"2019","DK0","25 years or over","Females","Percentage","4.5"
"2019","DK01","From 15 to 24 years","Total","Percentage","9.1"
"2019","DK01","From 15 to 24 years","Males","Percentage","10.0"
"2019","DK01","From 15 to 24 years","Females","Percentage","8.3"
"2019","DK01","25 years or over","Total","Percentage","4.4"
"2019","DK01","25 years or over","Males","Percentage","4.1"
"2019","DK01","25 years or over","Females","Percentage","4.7"
"2019","DK02","From 15 to 24 years","Total","Percentage","12.1"
"2019","DK02","From 15 to 24 years","Males","Percentage","11.6"
"2019","DK02","From 15 to 24 years","Females","Percentage","12.7"
"2019","DK02","25 years or over","Total","Percentage","3.8"
"2019","DK02","25 years or over","Males","Percentage","3.5"
"2019","DK02","25 years or over","Females","Percentage","4.1"
"2019","DK03","From 15 to 24 years","Total","Percentage","10.1"
"2019","DK03","From 15 to 24 years","Males","Percentage","10.9"
"2019","DK03","From 15 to 24 years","Females","Percentage","9.2"
"2019","DK03","25 years or over","Total","Percentage","3.9"
"2019","DK03","25 years or over","Males","Percentage","3.7"
"2019","DK03","25 years or over","Females","Percentage","4.1"
"2019","DK04","From 15 to 24 years","Total","Percentage","9.5"
"2019","DK04","From 15 to 24 years","Males","Percentage","9.5"
"2019","DK04","From 15 to 24 years","Females","Percentage","9.5"
"2019","DK04","25 years or over","Total","Percentage","4.0"
"2019","DK04","25 years or over","Males","Percentage","3.8"
"2019","DK04","25 years or over","Females","Percentage","4.2"
"2019","DK05","From 15 to 24 years","Total","Percentage","11.6"
"2019","DK05","From 15 to 24 years","Males","Percentage","10.8"
"2019","DK05","From 15 to 24 years","Females","Percentage","12.5"
"2019","DK05","25 years or over","Total","Percentage","4.8"
"2019","DK05","25 years or over","Males","Percentage","4.2"
"2019","DK05","25 years or over","Females","Percentage","5.6"
"2019","DE","From 15 to 24 years","Total","Percentage","5.8"
"2019","DE","From 15 to 24 years","Males","Percentage","6.6"
"2019","DE","From 15 to 24 years","Females","Percentage","4.8"
"2019","DE","25 years or over","Total","Percentage","2.8"
"2019","DE","25 years or over","Males","Percentage","3.1"
"2019","DE","25 years or over","Females","Percentage","2.5"
"2019","DE1","From 15 to 24 years","Total","Percentage","4.8"
"2019","DE1","From 15 to 24 years","Males","Percentage","5.6"
"2019","DE1","From 15 to 24 years","Females","Percentage","4.0"
"2019","DE1","25 years or over","Total","Percentage","2.1"
"2019","DE1","25 years or over","Males","Percentage","2.2"
"2019","DE1","25 years or over","Females","Percentage","1.9"
"2019","DE11","From 15 to 24 years","Total","Percentage","5.0"
"2019","DE11","From 15 to 24 years","Males","Percentage","6.2"
"2019","DE11","From 15 to 24 years","Females","Percentage",":"
"2019","DE11","25 years or over","Total","Percentage","2.1"
"2019","DE11","25 years or over","Males","Percentage","2.2"
"2019","DE11","25 years or over","Females","Percentage","1.8"
"2019","DE12","From 15 to 24 years","Total","Percentage","5.7"
"2019","DE12","From 15 to 24 years","Males","Percentage","5.5"
"2019","DE12","From 15 to 24 years","Females","Percentage",":"
"2019","DE12","25 years or over","Total","Percentage","2.5"
"2019","DE12","25 years or over","Males","Percentage","2.5"
"2019","DE12","25 years or over","Females","Percentage","2.4"
"2019","DE13","From 15 to 24 years","Total","Percentage","4.0"
"2019","DE13","From 15 to 24 years","Males","Percentage",":"
"2019","DE13","From 15 to 24 years","Females","Percentage",":"
"2019","DE13","25 years or over","Total","Percentage","1.9"
"2019","DE13","25 years or over","Males","Percentage","2.0"
"2019","DE13","25 years or over","Females","Percentage","1.8"
"2019","DE14","From 15 to 24 years","Total","Percentage",":"
"2019","DE14","From 15 to 24 years","Males","Percentage",":"
"2019","DE14","From 15 to 24 years","Females","Percentage",":"
"2019","DE14","25 years or over","Total","Percentage","1.6"
"2019","DE14","25 years or over","Males","Percentage","1.7"
"2019","DE14","25 years or over","Females","Percentage","1.4"
"2019","DE2","From 15 to 24 years","Total","Percentage","3.9"
"2019","DE2","From 15 to 24 years","Males","Percentage","4.9"
"2019","DE2","From 15 to 24 years","Females","Percentage","2.8"
"2019","DE2","25 years or over","Total","Percentage","1.8"
"2019","DE2","25 years or over","Males","Percentage","1.8"
"2019","DE2","25 years or over","Females","Percentage","1.8"
"2019","DE21","From 15 to 24 years","Total","Percentage","3.3"
"2019","DE21","From 15 to 24 years","Males","Percentage",":"
"2019","DE21","From 15 to 24 years","Females","Percentage",":"
"2019","DE21","25 years or over","Total","Percentage","1.8"
"2019","DE21","25 years or over","Males","Percentage","1.9"
"2019","DE21","25 years or over","Females","Percentage","1.7"
"2019","DE22","From 15 to 24 years","Total","Percentage",":"
"2019","DE22","From 15 to 24 years","Males","Percentage",":"
"2019","DE22","From 15 to 24 years","Females","Percentage",":"
"2019","DE22","25 years or over","Total","Percentage","1.8"
"2019","DE22","25 years or over","Males","Percentage","1.7"
"2019","DE22","25 years or over","Females","Percentage",":"
"2019","DE23","From 15 to 24 years","Total","Percentage",":"
"2019","DE23","From 15 to 24 years","Males","Percentage",":"
"2019","DE23","From 15 to 24 years","Females","Percentage",":"
"2019","DE23","25 years or over","Total","Percentage","2.1"
"2019","DE23","25 years or over","Males","Percentage","2.1"
"2019","DE23","25 years or over","Females","Percentage",":"
"2019","DE24","From 15 to 24 years","Total","Percentage",":"
"2019","DE24","From 15 to 24 years","Males","Percentage",":"
"2019","DE24","From 15 to 24 years","Females","Percentage",":"
"2019","DE24","25 years or over","Total","Percentage","2.0"
"2019","DE24","25 years or over","Males","Percentage","2.1"
"2019","DE24","25 years or over","Females","Percentage",":"
"2019","DE25","From 15 to 24 years","Total","Percentage",":"
"2019","DE25","From 15 to 24 years","Males","Percentage",":"
"2019","DE25","From 15 to 24 years","Females","Percentage",":"
"2019","DE25","25 years or over","Total","Percentage","1.8"
"2019","DE25","25 years or over","Males","Percentage","1.7"
"2019","DE25","25 years or over","Females","Percentage","2.0"
"2019","DE26","From 15 to 24 years","Total","Percentage",":"
"2019","DE26","From 15 to 24 years","Males","Percentage",":"
"2019","DE26","From 15 to 24 years","Females","Percentage",":"
"2019","DE26","25 years or over","Total","Percentage","1.7"
"2019","DE26","25 years or over","Males","Percentage","1.5"
"2019","DE26","25 years or over","Females","Percentage","2.1"
"2019","DE27","From 15 to 24 years","Total","Percentage","4.4"
"2019","DE27","From 15 to 24 years","Males","Percentage",":"
"2019","DE27","From 15 to 24 years","Females","Percentage",":"
"2019","DE27","25 years or over","Total","Percentage","2.0"
"2019","DE27","25 years or over","Males","Percentage","1.9"
"2019","DE27","25 years or over","Females","Percentage","2.0"
"2019","DE3","From 15 to 24 years","Total","Percentage","10.2"
"2019","DE3","From 15 to 24 years","Males","Percentage","12.0"
"2019","DE3","From 15 to 24 years","Females","Percentage","7.9"
"2019","DE3","25 years or over","Total","Percentage","4.9"
"2019","DE3","25 years or over","Males","Percentage","5.2"
"2019","DE3","25 years or over","Females","Percentage","4.6"
"2019","DE30","From 15 to 24 years","Total","Percentage","10.2"
"2019","DE30","From 15 to 24 years","Males","Percentage","12.0"
"2019","DE30","From 15 to 24 years","Females","Percentage","7.9"
"2019","DE30","25 years or over","Total","Percentage","4.9"
"2019","DE30","25 years or over","Males","Percentage","5.2"
"2019","DE30","25 years or over","Females","Percentage","4.6"
"2019","DE4","From 15 to 24 years","Total","Percentage","7.3"
"2019","DE4","From 15 to 24 years","Males","Percentage",":"
"2019","DE4","From 15 to 24 years","Females","Percentage",":"
"2019","DE4","25 years or over","Total","Percentage","3.1"
"2019","DE4","25 years or over","Males","Percentage","3.7"
"2019","DE4","25 years or over","Females","Percentage","2.5"
"2019","DE40","From 15 to 24 years","Total","Percentage","7.3"
"2019","DE40","From 15 to 24 years","Males","Percentage",":"
"2019","DE40","From 15 to 24 years","Females","Percentage",":"
"2019","DE40","25 years or over","Total","Percentage","3.1"
"2019","DE40","25 years or over","Males","Percentage","3.7"
"2019","DE40","25 years or over","Females","Percentage","2.5"
"2019","DE5","From 15 to 24 years","Total","Percentage",":"
"2019","DE5","From 15 to 24 years","Males","Percentage",":"
"2019","DE5","From 15 to 24 years","Females","Percentage",":"
"2019","DE5","25 years or over","Total","Percentage","4.6"
"2019","DE5","25 years or over","Males","Percentage","6.1"
"2019","DE5","25 years or over","Females","Percentage",":"
"2019","DE50","From 15 to 24 years","Total","Percentage",":"
"2019","DE50","From 15 to 24 years","Males","Percentage",":"
"2019","DE50","From 15 to 24 years","Females","Percentage",":"
"2019","DE50","25 years or over","Total","Percentage","4.6"
"2019","DE50","25 years or over","Males","Percentage","6.1"
"2019","DE50","25 years or over","Females","Percentage",":"
"2019","DE6","From 15 to 24 years","Total","Percentage","8.3"
"2019","DE6","From 15 to 24 years","Males","Percentage",":"
"2019","DE6","From 15 to 24 years","Females","Percentage",":"
"2019","DE6","25 years or over","Total","Percentage","3.2"
"2019","DE6","25 years or over","Males","Percentage","3.4"
"2019","DE6","25 years or over","Females","Percentage","2.9"
"2019","DE60","From 15 to 24 years","Total","Percentage","8.3"
"2019","DE60","From 15 to 24 years","Males","Percentage",":"
"2019","DE60","From 15 to 24 years","Females","Percentage",":"
"2019","DE60","25 years or over","Total","Percentage","3.2"
"2019","DE60","25 years or over","Males","Percentage","3.4"
"2019","DE60","25 years or over","Females","Percentage","2.9"
"2019","DE7","From 15 to 24 years","Total","Percentage","6.2"
"2019","DE7","From 15 to 24 years","Males","Percentage","6.6"
"2019","DE7","From 15 to 24 years","Females","Percentage","5.6"
"2019","DE7","25 years or over","Total","Percentage","2.7"
"2019","DE7","25 years or over","Males","Percentage","2.9"
"2019","DE7","25 years or over","Females","Percentage","2.4"
"2019","DE71","From 15 to 24 years","Total","Percentage","6.2"
"2019","DE71","From 15 to 24 years","Males","Percentage","6.4"
"2019","DE71","From 15 to 24 years","Females","Percentage","5.9"
"2019","DE71","25 years or over","Total","Percentage","2.7"
"2019","DE71","25 years or over","Males","Percentage","2.8"
"2019","DE71","25 years or over","Females","Percentage","2.6"
"2019","DE72","From 15 to 24 years","Total","Percentage",":"
"2019","DE72","From 15 to 24 years","Males","Percentage",":"
"2019","DE72","From 15 to 24 years","Females","Percentage",":"
"2019","DE72","25 years or over","Total","Percentage","2.9"
"2019","DE72","25 years or over","Males","Percentage","3.5"
"2019","DE72","25 years or over","Females","Percentage",":"
"2019","DE73","From 15 to 24 years","Total","Percentage",":"
"2019","DE73","From 15 to 24 years","Males","Percentage",":"
"2019","DE73","From 15 to 24 years","Females","Percentage",":"
"2019","DE73","25 years or over","Total","Percentage","2.4"
"2019","DE73","25 years or over","Males","Percentage","2.7"
"2019","DE73","25 years or over","Females","Percentage","2.0"
"2019","DE8","From 15 to 24 years","Total","Percentage",":"
"2019","DE8","From 15 to 24 years","Males","Percentage",":"
"2019","DE8","From 15 to 24 years","Females","Percentage",":"
"2019","DE8","25 years or over","Total","Percentage","3.6"
"2019","DE8","25 years or over","Males","Percentage","4.0"
"2019","DE8","25 years or over","Females","Percentage","3.2"
"2019","DE80","From 15 to 24 years","Total","Percentage",":"
"2019","DE80","From 15 to 24 years","Males","Percentage",":"
"2019","DE80","From 15 to 24 years","Females","Percentage",":"
"2019","DE80","25 years or over","Total","Percentage","3.6"
"2019","DE80","25 years or over","Males","Percentage","4.0"
"2019","DE80","25 years or over","Females","Percentage","3.2"
"2019","DE9","From 15 to 24 years","Total","Percentage","6.3"
"2019","DE9","From 15 to 24 years","Males","Percentage","6.6"
"2019","DE9","From 15 to 24 years","Females","Percentage","5.9"
"2019","DE9","25 years or over","Total","Percentage","2.7"
"2019","DE9","25 years or over","Males","Percentage","3.2"
"2019","DE9","25 years or over","Females","Percentage","2.2"
"2019","DE91","From 15 to 24 years","Total","Percentage","6.6"
"2019","DE91","From 15 to 24 years","Males","Percentage",":"
"2019","DE91","From 15 to 24 years","Females","Percentage",":"
"2019","DE91","25 years or over","Total","Percentage","3.0"
"2019","DE91","25 years or over","Males","Percentage","3.2"
"2019","DE91","25 years or over","Females","Percentage","2.7"
"2019","DE92","From 15 to 24 years","Total","Percentage","7.8"
"2019","DE92","From 15 to 24 years","Males","Percentage","8.6"
"2019","DE92","From 15 to 24 years","Females","Percentage",":"
"2019","DE92","25 years or over","Total","Percentage","3.0"
"2019","DE92","25 years or over","Males","Percentage","3.9"
"2019","DE92","25 years or over","Females","Percentage","2.0"
"2019","DE93","From 15 to 24 years","Total","Percentage",":"
"2019","DE93","From 15 to 24 years","Males","Percentage",":"
"2019","DE93","From 15 to 24 years","Females","Percentage",":"
"2019","DE93","25 years or over","Total","Percentage","2.3"
"2019","DE93","25 years or over","Males","Percentage","2.7"
"2019","DE93","25 years or over","Females","Percentage","1.8"
"2019","DE94","From 15 to 24 years","Total","Percentage","5.6"
"2019","DE94","From 15 to 24 years","Males","Percentage",":"
"2019","DE94","From 15 to 24 years","Females","Percentage",":"
"2019","DE94","25 years or over","Total","Percentage","2.6"
"2019","DE94","25 years or over","Males","Percentage","2.9"
"2019","DE94","25 years or over","Females","Percentage","2.2"
"2019","DEA","From 15 to 24 years","Total","Percentage","5.7"
"2019","DEA","From 15 to 24 years","Males","Percentage","6.4"
"2019","DEA","From 15 to 24 years","Females","Percentage","4.9"
"2019","DEA","25 years or over","Total","Percentage","3.3"
"2019","DEA","25 years or over","Males","Percentage","3.9"
"2019","DEA","25 years or over","Females","Percentage","2.7"
"2019","DEA1","From 15 to 24 years","Total","Percentage","7.0"
"2019","DEA1","From 15 to 24 years","Males","Percentage","8.8"
"2019","DEA1","From 15 to 24 years","Females","Percentage","4.9"
"2019","DEA1","25 years or over","Total","Percentage","3.5"
"2019","DEA1","25 years or over","Males","Percentage","4.0"
"2019","DEA1","25 years or over","Females","Percentage","2.9"
"2019","DEA2","From 15 to 24 years","Total","Percentage","5.4"
"2019","DEA2","From 15 to 24 years","Males","Percentage","5.7"
"2019","DEA2","From 15 to 24 years","Females","Percentage","5.0"
"2019","DEA2","25 years or over","Total","Percentage","3.2"
"2019","DEA2","25 years or over","Males","Percentage","3.9"
