"TIME","GEO","CITIZEN","ISCED11","AGE","UNIT","SEX","Value"
"2019","BE","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","54.1"
"2019","BE","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","37.0"
"2019","BE","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","69.8"
"2019","BE","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","75.4"
"2019","BE","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","63.5"
"2019","BE","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","83.8"
"2019","BE","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","86.4"
"2019","BE","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","81.8"
"2019","BE1","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","39.9"
"2019","BE1","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","50.3"
"2019","BE1","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","28.5"
"2019","BE1","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","56.5"
"2019","BE1","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","61.6"
"2019","BE1","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","51.1"
"2019","BE1","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","78.5"
"2019","BE1","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","83.0"
"2019","BE1","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","74.3"
"2019","BE10","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","39.9"
"2019","BE10","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","50.3"
"2019","BE10","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","28.5"
"2019","BE10","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","56.5"
"2019","BE10","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","61.6"
"2019","BE10","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","51.1"
"2019","BE10","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","78.5"
"2019","BE10","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","83.0"
"2019","BE10","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","74.3"
"2019","BE2","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","54.2"
"2019","BE2","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","63.0"
"2019","BE2","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","43.4"
"2019","BE2","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","74.2"
"2019","BE2","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","79.0"
"2019","BE2","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","68.6"
"2019","BE2","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","86.1"
"2019","BE2","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","88.5"
"2019","BE2","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","84.1"
"2019","BE21","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","52.0"
"2019","BE21","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","62.6"
"2019","BE21","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","39.1"
"2019","BE21","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","74.5"
"2019","BE21","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","80.0"
"2019","BE21","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","68.3"
"2019","BE21","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","85.6"
"2019","BE21","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","89.2"
"2019","BE21","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","82.7"
"2019","BE22","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","53.8"
"2019","BE22","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","61.6"
"2019","BE22","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","43.7"
"2019","BE22","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","69.2"
"2019","BE22","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","73.9"
"2019","BE22","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","63.5"
"2019","BE22","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","86.2"
"2019","BE22","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","87.6"
"2019","BE22","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","85.2"
"2019","BE23","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","55.5"
"2019","BE23","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","63.7"
"2019","BE23","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","45.2"
"2019","BE23","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","75.3"
"2019","BE23","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","79.4"
"2019","BE23","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","70.6"
"2019","BE23","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","86.5"
"2019","BE23","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","89.2"
"2019","BE23","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","84.4"
"2019","BE24","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","53.0"
"2019","BE24","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","60.4"
"2019","BE24","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","44.4"
"2019","BE24","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","72.3"
"2019","BE24","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","76.5"
"2019","BE24","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","67.4"
"2019","BE24","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","85.7"
"2019","BE24","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","87.0"
"2019","BE24","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","84.6"
"2019","BE25","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","57.6"
"2019","BE25","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","65.9"
"2019","BE25","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","47.9"
"2019","BE25","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","77.6"
"2019","BE25","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","82.8"
"2019","BE25","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","71.3"
"2019","BE25","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","86.4"
"2019","BE25","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","88.6"
"2019","BE25","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","84.6"
"2019","BE3","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","38.5"
"2019","BE3","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","43.7"
"2019","BE3","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","32.4"
"2019","BE3","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","64.8"
"2019","BE3","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","71.6"
"2019","BE3","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","57.1"
"2019","BE3","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","81.7"
"2019","BE3","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","83.6"
"2019","BE3","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","80.3"
"2019","BE31","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","42.6"
"2019","BE31","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","48.7"
"2019","BE31","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","34.7"
"2019","BE31","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","66.2"
"2019","BE31","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","70.8"
"2019","BE31","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","61.4"
"2019","BE31","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","81.9"
"2019","BE31","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","85.4"
"2019","BE31","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","78.9"
"2019","BE32","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","34.4"
"2019","BE32","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","40.4"
"2019","BE32","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","27.3"
"2019","BE32","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","63.2"
"2019","BE32","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","70.5"
"2019","BE32","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","55.2"
"2019","BE32","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","81.3"
"2019","BE32","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","81.5"
"2019","BE32","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","81.2"
"2019","BE33","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","39.4"
"2019","BE33","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","44.0"
"2019","BE33","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","34.6"
"2019","BE33","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","64.5"
"2019","BE33","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","72.1"
"2019","BE33","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","55.0"
"2019","BE33","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","81.9"
"2019","BE33","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","84.1"
"2019","BE33","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","80.2"
"2019","BE34","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","48.7"
"2019","BE34","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","53.9"
"2019","BE34","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","42.0"
"2019","BE34","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","70.0"
"2019","BE34","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","75.5"
"2019","BE34","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","63.5"
"2019","BE34","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","83.6"
"2019","BE34","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","87.6"
"2019","BE34","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","80.3"
"2019","BE35","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","42.2"
"2019","BE35","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","45.9"
"2019","BE35","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","37.6"
"2019","BE35","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","66.1"
"2019","BE35","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","71.6"
"2019","BE35","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","60.1"
"2019","BE35","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","81.2"
"2019","BE35","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","82.9"
"2019","BE35","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","79.8"
"2019","BG","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","51.2"
"2019","BG","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","61.1"
"2019","BG","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","40.5"
"2019","BG","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","76.0"
"2019","BG","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","80.3"
"2019","BG","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","70.8"
"2019","BG","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","88.5"
"2019","BG","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","91.7"
"2019","BG","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","86.4"
"2019","BG3","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","46.8"
"2019","BG3","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","57.9"
"2019","BG3","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","34.9"
"2019","BG3","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","75.7"
"2019","BG3","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","80.6"
"2019","BG3","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","69.6"
"2019","BG3","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","87.3"
"2019","BG3","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","90.2"
"2019","BG3","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","85.4"
"2019","BG31","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","29.8"
"2019","BG31","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","36.3"
"2019","BG31","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","22.7"
"2019","BG31","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","70.0"
"2019","BG31","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","74.7"
"2019","BG31","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","64.2"
"2019","BG31","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","87.6"
"2019","BG31","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","90.9"
"2019","BG31","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","85.7"
"2019","BG32","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","41.6"
"2019","BG32","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","49.6"
"2019","BG32","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","33.1"
"2019","BG32","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","77.3"
"2019","BG32","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","81.8"
"2019","BG32","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","71.7"
"2019","BG32","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","87.9"
"2019","BG32","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","90.1"
"2019","BG32","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","86.3"
"2019","BG33","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","51.7"
"2019","BG33","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","68.2"
"2019","BG33","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","33.6"
"2019","BG33","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","76.4"
"2019","BG33","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","82.4"
"2019","BG33","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","69.0"
"2019","BG33","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","86.2"
"2019","BG33","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","90.8"
"2019","BG33","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","83.4"
"2019","BG34","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","55.0"
"2019","BG34","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","65.8"
"2019","BG34","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","44.0"
"2019","BG34","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","78.0"
"2019","BG34","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","82.4"
"2019","BG34","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","72.5"
"2019","BG34","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","87.5"
"2019","BG34","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","89.3"
"2019","BG34","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","86.4"
"2019","BG4","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","57.7"
"2019","BG4","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","65.9"
"2019","BG4","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","48.8"
"2019","BG4","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","76.4"
"2019","BG4","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","79.9"
"2019","BG4","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","72.0"
"2019","BG4","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","89.3"
"2019","BG4","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","92.6"
"2019","BG4","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","87.1"
"2019","BG41","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","63.5"
"2019","BG41","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Males","70.5"
"2019","BG41","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Females","55.9"
"2019","BG41","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Total","76.1"
"2019","BG41","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Males","79.4"
"2019","BG41","Total","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 20 to 64 years","Percentage","Females","72.0"
"2019","BG41","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Total","90.4"
"2019","BG41","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Males","93.2"
"2019","BG41","Total","Tertiary education (levels 5-8)","From 20 to 64 years","Percentage","Females","88.4"
"2019","BG42","Total","Less than primary, primary and lower secondary education (levels 0-2)","From 20 to 64 years","Percentage","Total","54.4"
