"TIME","GEO","INDIC_IL","Value"
"2004","Ireland","Gini coefficient (scale from 0 to 100)","46.8"
"2004","Greece","Gini coefficient (scale from 0 to 100)","47.7"
"2004","Spain","Gini coefficient (scale from 0 to 100)","47.7"
"2004","France","Gini coefficient (scale from 0 to 100)","50.6"
"2004","Croatia","Gini coefficient (scale from 0 to 100)",":"
"2004","Italy","Gini coefficient (scale from 0 to 100)","48.0"
"2004","Cyprus","Gini coefficient (scale from 0 to 100)",":"
"2004","Latvia","Gini coefficient (scale from 0 to 100)",":"
"2004","Lithuania","Gini coefficient (scale from 0 to 100)",":"
"2004","Luxembourg","Gini coefficient (scale from 0 to 100)","43.2"
"2004","Hungary","Gini coefficient (scale from 0 to 100)",":"
"2004","Malta","Gini coefficient (scale from 0 to 100)",":"
"2004","Netherlands","Gini coefficient (scale from 0 to 100)",":"
"2004","Austria","Gini coefficient (scale from 0 to 100)","43.9"
"2004","Poland","Gini coefficient (scale from 0 to 100)",":"
"2004","Portugal","Gini coefficient (scale from 0 to 100)","50.8"
"2004","Romania","Gini coefficient (scale from 0 to 100)",":"
"2004","Slovenia","Gini coefficient (scale from 0 to 100)",":"
"2004","Slovakia","Gini coefficient (scale from 0 to 100)",":"
"2004","Finland","Gini coefficient (scale from 0 to 100)","46.2"
"2004","Sweden","Gini coefficient (scale from 0 to 100)","44.3"
"2004","Iceland","Gini coefficient (scale from 0 to 100)","36.4"
"2004","Norway","Gini coefficient (scale from 0 to 100)","42.1"
"2004","Switzerland","Gini coefficient (scale from 0 to 100)",":"
"2004","United Kingdom","Gini coefficient (scale from 0 to 100)",":"
"2004","Montenegro","Gini coefficient (scale from 0 to 100)",":"
"2004","North Macedonia","Gini coefficient (scale from 0 to 100)",":"
"2004","Serbia","Gini coefficient (scale from 0 to 100)",":"
"2004","Turkey","Gini coefficient (scale from 0 to 100)",":"
"2004","Kosovo (under United Nations Security Council Resolution 1244/99)","Gini coefficient (scale from 0 to 100)",":"
"2005","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Gini coefficient (scale from 0 to 100)",":"
"2005","European Union - 27 countries (from 2020)","Gini coefficient (scale from 0 to 100)",":"
"2005","European Union - 28 countries (2013-2020)","Gini coefficient (scale from 0 to 100)",":"
"2005","European Union - 27 countries (2007-2013)","Gini coefficient (scale from 0 to 100)","49.7"
"2005","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Gini coefficient (scale from 0 to 100)",":"
"2005","Euro area - 19 countries  (from 2015)","Gini coefficient (scale from 0 to 100)","48.2"
"2005","Euro area - 18 countries (2014)","Gini coefficient (scale from 0 to 100)","48.2"
"2005","Belgium","Gini coefficient (scale from 0 to 100)","50.6"
"2005","Bulgaria","Gini coefficient (scale from 0 to 100)",":"
"2005","Czechia","Gini coefficient (scale from 0 to 100)","46.0"
"2005","Denmark","Gini coefficient (scale from 0 to 100)","44.5"
"2005","Germany (until 1990 former territory of the FRG)","Gini coefficient (scale from 0 to 100)","49.1"
"2005","Estonia","Gini coefficient (scale from 0 to 100)","49.4"
"2005","Ireland","Gini coefficient (scale from 0 to 100)","48.7"
"2005","Greece","Gini coefficient (scale from 0 to 100)","48.1"
"2005","Spain","Gini coefficient (scale from 0 to 100)","46.0"
"2005","France","Gini coefficient (scale from 0 to 100)","49.6"
"2005","Croatia","Gini coefficient (scale from 0 to 100)",":"
"2005","Italy","Gini coefficient (scale from 0 to 100)","48.3"
"2005","Cyprus","Gini coefficient (scale from 0 to 100)","38.2"
"2005","Latvia","Gini coefficient (scale from 0 to 100)","51.1"
"2005","Lithuania","Gini coefficient (scale from 0 to 100)","51.8"
"2005","Luxembourg","Gini coefficient (scale from 0 to 100)","43.5"
"2005","Hungary","Gini coefficient (scale from 0 to 100)","51.5"
"2005","Malta","Gini coefficient (scale from 0 to 100)","40.1"
"2005","Netherlands","Gini coefficient (scale from 0 to 100)","44.9"
"2005","Austria","Gini coefficient (scale from 0 to 100)","45.0"
"2005","Poland","Gini coefficient (scale from 0 to 100)","56.1"
"2005","Portugal","Gini coefficient (scale from 0 to 100)","51.2"
"2005","Romania","Gini coefficient (scale from 0 to 100)",":"
"2005","Slovenia","Gini coefficient (scale from 0 to 100)","42.6"
"2005","Slovakia","Gini coefficient (scale from 0 to 100)","45.2"
"2005","Finland","Gini coefficient (scale from 0 to 100)","46.3"
"2005","Sweden","Gini coefficient (scale from 0 to 100)","44.2"
"2005","Iceland","Gini coefficient (scale from 0 to 100)","37.3"
"2005","Norway","Gini coefficient (scale from 0 to 100)","46.9"
"2005","Switzerland","Gini coefficient (scale from 0 to 100)",":"
"2005","United Kingdom","Gini coefficient (scale from 0 to 100)","53.7"
"2005","Montenegro","Gini coefficient (scale from 0 to 100)",":"
"2005","North Macedonia","Gini coefficient (scale from 0 to 100)",":"
"2005","Serbia","Gini coefficient (scale from 0 to 100)",":"
"2005","Turkey","Gini coefficient (scale from 0 to 100)",":"
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Gini coefficient (scale from 0 to 100)",":"
"2006","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Gini coefficient (scale from 0 to 100)",":"
"2006","European Union - 27 countries (from 2020)","Gini coefficient (scale from 0 to 100)",":"
"2006","European Union - 28 countries (2013-2020)","Gini coefficient (scale from 0 to 100)",":"
"2006","European Union - 27 countries (2007-2013)","Gini coefficient (scale from 0 to 100)","50.2"
"2006","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Gini coefficient (scale from 0 to 100)",":"
"2006","Euro area - 19 countries  (from 2015)","Gini coefficient (scale from 0 to 100)","49.7"
"2006","Euro area - 18 countries (2014)","Gini coefficient (scale from 0 to 100)","49.7"
"2006","Belgium","Gini coefficient (scale from 0 to 100)","48.7"
"2006","Bulgaria","Gini coefficient (scale from 0 to 100)","52.8"
"2006","Czechia","Gini coefficient (scale from 0 to 100)","45.2"
"2006","Denmark","Gini coefficient (scale from 0 to 100)","44.2"
"2006","Germany (until 1990 former territory of the FRG)","Gini coefficient (scale from 0 to 100)","55.2"
"2006","Estonia","Gini coefficient (scale from 0 to 100)","47.4"
"2006","Ireland","Gini coefficient (scale from 0 to 100)","48.5"
"2006","Greece","Gini coefficient (scale from 0 to 100)","48.9"
"2006","Spain","Gini coefficient (scale from 0 to 100)","45.6"
"2006","France","Gini coefficient (scale from 0 to 100)","50.7"
"2006","Croatia","Gini coefficient (scale from 0 to 100)",":"
"2006","Italy","Gini coefficient (scale from 0 to 100)","47.9"
"2006","Cyprus","Gini coefficient (scale from 0 to 100)","37.7"
"2006","Latvia","Gini coefficient (scale from 0 to 100)","51.6"
"2006","Lithuania","Gini coefficient (scale from 0 to 100)","49.3"
"2006","Luxembourg","Gini coefficient (scale from 0 to 100)","44.6"
"2006","Hungary","Gini coefficient (scale from 0 to 100)","55.5"
"2006","Malta","Gini coefficient (scale from 0 to 100)","40.5"
"2006","Netherlands","Gini coefficient (scale from 0 to 100)","44.2"
"2006","Austria","Gini coefficient (scale from 0 to 100)","45.0"
"2006","Poland","Gini coefficient (scale from 0 to 100)","53.0"
"2006","Portugal","Gini coefficient (scale from 0 to 100)","51.4"
"2006","Romania","Gini coefficient (scale from 0 to 100)",":"
"2006","Slovenia","Gini coefficient (scale from 0 to 100)","41.8"
"2006","Slovakia","Gini coefficient (scale from 0 to 100)","44.7"
"2006","Finland","Gini coefficient (scale from 0 to 100)","46.0"
"2006","Sweden","Gini coefficient (scale from 0 to 100)","43.2"
"2006","Iceland","Gini coefficient (scale from 0 to 100)","38.0"
"2006","Norway","Gini coefficient (scale from 0 to 100)","55.1"
"2006","Switzerland","Gini coefficient (scale from 0 to 100)",":"
"2006","United Kingdom","Gini coefficient (scale from 0 to 100)","51.0"
"2006","Montenegro","Gini coefficient (scale from 0 to 100)",":"
"2006","North Macedonia","Gini coefficient (scale from 0 to 100)",":"
"2006","Serbia","Gini coefficient (scale from 0 to 100)",":"
"2006","Turkey","Gini coefficient (scale from 0 to 100)","50.8"
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Gini coefficient (scale from 0 to 100)",":"
"2007","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Gini coefficient (scale from 0 to 100)",":"
"2007","European Union - 27 countries (from 2020)","Gini coefficient (scale from 0 to 100)",":"
"2007","European Union - 28 countries (2013-2020)","Gini coefficient (scale from 0 to 100)",":"
"2007","European Union - 27 countries (2007-2013)","Gini coefficient (scale from 0 to 100)","49.6"
"2007","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Gini coefficient (scale from 0 to 100)",":"
"2007","Euro area - 19 countries  (from 2015)","Gini coefficient (scale from 0 to 100)","49.3"
"2007","Euro area - 18 countries (2014)","Gini coefficient (scale from 0 to 100)","49.3"
"2007","Belgium","Gini coefficient (scale from 0 to 100)","46.7"
"2007","Bulgaria","Gini coefficient (scale from 0 to 100)","50.4"
"2007","Czechia","Gini coefficient (scale from 0 to 100)","44.9"
"2007","Denmark","Gini coefficient (scale from 0 to 100)","45.2"
"2007","Germany (until 1990 former territory of the FRG)","Gini coefficient (scale from 0 to 100)","54.4"
"2007","Estonia","Gini coefficient (scale from 0 to 100)","46.9"
"2007","Ireland","Gini coefficient (scale from 0 to 100)","48.2"
"2007","Greece","Gini coefficient (scale from 0 to 100)","49.4"
"2007","Spain","Gini coefficient (scale from 0 to 100)","45.4"
"2007","France","Gini coefficient (scale from 0 to 100)","49.9"
"2007","Croatia","Gini coefficient (scale from 0 to 100)",":"
"2007","Italy","Gini coefficient (scale from 0 to 100)","47.7"
"2007","Cyprus","Gini coefficient (scale from 0 to 100)","37.3"
"2007","Latvia","Gini coefficient (scale from 0 to 100)","47.2"
"2007","Lithuania","Gini coefficient (scale from 0 to 100)","46.9"
"2007","Luxembourg","Gini coefficient (scale from 0 to 100)","44.0"
"2007","Hungary","Gini coefficient (scale from 0 to 100)","48.8"
"2007","Malta","Gini coefficient (scale from 0 to 100)","40.4"
"2007","Netherlands","Gini coefficient (scale from 0 to 100)","45.4"
"2007","Austria","Gini coefficient (scale from 0 to 100)","46.3"
"2007","Poland","Gini coefficient (scale from 0 to 100)","51.4"
"2007","Portugal","Gini coefficient (scale from 0 to 100)","51.0"
"2007","Romania","Gini coefficient (scale from 0 to 100)","55.6"
"2007","Slovenia","Gini coefficient (scale from 0 to 100)","41.0"
"2007","Slovakia","Gini coefficient (scale from 0 to 100)","42.2"
"2007","Finland","Gini coefficient (scale from 0 to 100)","46.4"
"2007","Sweden","Gini coefficient (scale from 0 to 100)","44.3"
"2007","Iceland","Gini coefficient (scale from 0 to 100)","39.0"
"2007","Norway","Gini coefficient (scale from 0 to 100)","43.1"
"2007","Switzerland","Gini coefficient (scale from 0 to 100)","46.5"
"2007","United Kingdom","Gini coefficient (scale from 0 to 100)","50.4"
"2007","Montenegro","Gini coefficient (scale from 0 to 100)",":"
"2007","North Macedonia","Gini coefficient (scale from 0 to 100)",":"
"2007","Serbia","Gini coefficient (scale from 0 to 100)",":"
"2007","Turkey","Gini coefficient (scale from 0 to 100)","49.0"
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Gini coefficient (scale from 0 to 100)",":"
"2008","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Gini coefficient (scale from 0 to 100)","49.6"
"2008","European Union - 27 countries (from 2020)","Gini coefficient (scale from 0 to 100)",":"
"2008","European Union - 28 countries (2013-2020)","Gini coefficient (scale from 0 to 100)",":"
"2008","European Union - 27 countries (2007-2013)","Gini coefficient (scale from 0 to 100)","49.6"
"2008","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Gini coefficient (scale from 0 to 100)","49.1"
"2008","Euro area - 19 countries  (from 2015)","Gini coefficient (scale from 0 to 100)","49.0"
"2008","Euro area - 18 countries (2014)","Gini coefficient (scale from 0 to 100)","49.0"
"2008","Belgium","Gini coefficient (scale from 0 to 100)","48.0"
"2008","Bulgaria","Gini coefficient (scale from 0 to 100)","49.7"
"2008","Czechia","Gini coefficient (scale from 0 to 100)","44.1"
"2008","Denmark","Gini coefficient (scale from 0 to 100)","46.4"
"2008","Germany (until 1990 former territory of the FRG)","Gini coefficient (scale from 0 to 100)","56.0"
"2008","Estonia","Gini coefficient (scale from 0 to 100)","44.2"
"2008","Ireland","Gini coefficient (scale from 0 to 100)","48.2"
"2008","Greece","Gini coefficient (scale from 0 to 100)","49.1"
"2008","Spain","Gini coefficient (scale from 0 to 100)","43.4"
"2008","France","Gini coefficient (scale from 0 to 100)","48.8"
"2008","Croatia","Gini coefficient (scale from 0 to 100)",":"
"2008","Italy","Gini coefficient (scale from 0 to 100)","46.7"
"2008","Cyprus","Gini coefficient (scale from 0 to 100)","39.0"
"2008","Latvia","Gini coefficient (scale from 0 to 100)","47.2"
"2008","Lithuania","Gini coefficient (scale from 0 to 100)","48.5"
"2008","Luxembourg","Gini coefficient (scale from 0 to 100)","44.0"
"2008","Hungary","Gini coefficient (scale from 0 to 100)","49.6"
"2008","Malta","Gini coefficient (scale from 0 to 100)","41.6"
"2008","Netherlands","Gini coefficient (scale from 0 to 100)","45.5"
"2008","Austria","Gini coefficient (scale from 0 to 100)","46.3"
"2008","Poland","Gini coefficient (scale from 0 to 100)","49.8"
"2008","Portugal","Gini coefficient (scale from 0 to 100)","50.2"
"2008","Romania","Gini coefficient (scale from 0 to 100)","54.7"
"2008","Slovenia","Gini coefficient (scale from 0 to 100)","40.4"
"2008","Slovakia","Gini coefficient (scale from 0 to 100)","41.1"
"2008","Finland","Gini coefficient (scale from 0 to 100)","45.4"
"2008","Sweden","Gini coefficient (scale from 0 to 100)","55.8"
"2008","Iceland","Gini coefficient (scale from 0 to 100)","38.2"
"2008","Norway","Gini coefficient (scale from 0 to 100)","43.1"
"2008","Switzerland","Gini coefficient (scale from 0 to 100)","48.1"
"2008","United Kingdom","Gini coefficient (scale from 0 to 100)","51.9"
"2008","Montenegro","Gini coefficient (scale from 0 to 100)",":"
"2008","North Macedonia","Gini coefficient (scale from 0 to 100)",":"
"2008","Serbia","Gini coefficient (scale from 0 to 100)",":"
"2008","Turkey","Gini coefficient (scale from 0 to 100)","49.2"
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Gini coefficient (scale from 0 to 100)",":"
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Gini coefficient (scale from 0 to 100)","49.6"
"2009","European Union - 27 countries (from 2020)","Gini coefficient (scale from 0 to 100)",":"
"2009","European Union - 28 countries (2013-2020)","Gini coefficient (scale from 0 to 100)",":"
"2009","European Union - 27 countries (2007-2013)","Gini coefficient (scale from 0 to 100)","49.6"
"2009","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Gini coefficient (scale from 0 to 100)","48.8"
"2009","Euro area - 19 countries  (from 2015)","Gini coefficient (scale from 0 to 100)","48.8"
"2009","Euro area - 18 countries (2014)","Gini coefficient (scale from 0 to 100)","48.7"
"2009","Belgium","Gini coefficient (scale from 0 to 100)","46.6"
"2009","Bulgaria","Gini coefficient (scale from 0 to 100)","46.4"
"2009","Czechia","Gini coefficient (scale from 0 to 100)","43.7"
"2009","Denmark","Gini coefficient (scale from 0 to 100)","58.8"
"2009","Germany (until 1990 former territory of the FRG)","Gini coefficient (scale from 0 to 100)","54.4"
"2009","Estonia","Gini coefficient (scale from 0 to 100)","45.1"
"2009","Ireland","Gini coefficient (scale from 0 to 100)","50.1"
"2009","Greece","Gini coefficient (scale from 0 to 100)","49.4"
"2009","Spain","Gini coefficient (scale from 0 to 100)","44.5"
"2009","France","Gini coefficient (scale from 0 to 100)","48.7"
"2009","Croatia","Gini coefficient (scale from 0 to 100)",":"
"2009","Italy","Gini coefficient (scale from 0 to 100)","47.0"
"2009","Cyprus","Gini coefficient (scale from 0 to 100)","39.4"
"2009","Latvia","Gini coefficient (scale from 0 to 100)","47.9"
"2009","Lithuania","Gini coefficient (scale from 0 to 100)","51.2"
"2009","Luxembourg","Gini coefficient (scale from 0 to 100)","47.0"
"2009","Hungary","Gini coefficient (scale from 0 to 100)","49.2"
"2009","Malta","Gini coefficient (scale from 0 to 100)","40.9"
"2009","Netherlands","Gini coefficient (scale from 0 to 100)","45.3"
"2009","Austria","Gini coefficient (scale from 0 to 100)","46.8"
"2009","Poland","Gini coefficient (scale from 0 to 100)","48.2"
"2009","Portugal","Gini coefficient (scale from 0 to 100)","50.7"
"2009","Romania","Gini coefficient (scale from 0 to 100)","54.0"
"2009","Slovenia","Gini coefficient (scale from 0 to 100)","39.4"
"2009","Slovakia","Gini coefficient (scale from 0 to 100)","41.3"
"2009","Finland","Gini coefficient (scale from 0 to 100)","44.9"
"2009","Sweden","Gini coefficient (scale from 0 to 100)","55.1"
"2009","Iceland","Gini coefficient (scale from 0 to 100)","39.2"
"2009","Norway","Gini coefficient (scale from 0 to 100)","40.5"
"2009","Switzerland","Gini coefficient (scale from 0 to 100)","48.1"
"2009","United Kingdom","Gini coefficient (scale from 0 to 100)","53.0"
"2009","Montenegro","Gini coefficient (scale from 0 to 100)",":"
"2009","North Macedonia","Gini coefficient (scale from 0 to 100)",":"
"2009","Serbia","Gini coefficient (scale from 0 to 100)",":"
"2009","Turkey","Gini coefficient (scale from 0 to 100)","50.8"
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Gini coefficient (scale from 0 to 100)",":"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Gini coefficient (scale from 0 to 100)","50.1"
"2010","European Union - 27 countries (from 2020)","Gini coefficient (scale from 0 to 100)","49.6"
"2010","European Union - 28 countries (2013-2020)","Gini coefficient (scale from 0 to 100)","50.1"
"2010","European Union - 27 countries (2007-2013)","Gini coefficient (scale from 0 to 100)","50.1"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Gini coefficient (scale from 0 to 100)","49.6"
"2010","Euro area - 19 countries  (from 2015)","Gini coefficient (scale from 0 to 100)","49.6"
"2010","Euro area - 18 countries (2014)","Gini coefficient (scale from 0 to 100)","49.6"
"2010","Belgium","Gini coefficient (scale from 0 to 100)","46.5"
"2010","Bulgaria","Gini coefficient (scale from 0 to 100)","46.7"
"2010","Czechia","Gini coefficient (scale from 0 to 100)","43.8"
"2010","Denmark","Gini coefficient (scale from 0 to 100)","51.3"
"2010","Germany (until 1990 former territory of the FRG)","Gini coefficient (scale from 0 to 100)","55.4"
"2010","Estonia","Gini coefficient (scale from 0 to 100)","47.4"
"2010","Ireland","Gini coefficient (scale from 0 to 100)","53.9"
"2010","Greece","Gini coefficient (scale from 0 to 100)","49.1"
"2010","Spain","Gini coefficient (scale from 0 to 100)","46.8"
"2010","France","Gini coefficient (scale from 0 to 100)","49.2"
"2010","Croatia","Gini coefficient (scale from 0 to 100)","48.2"
"2010","Italy","Gini coefficient (scale from 0 to 100)","47.5"
"2010","Cyprus","Gini coefficient (scale from 0 to 100)","42.4"
"2010","Latvia","Gini coefficient (scale from 0 to 100)","50.9"
"2010","Lithuania","Gini coefficient (scale from 0 to 100)","55.1"
"2010","Luxembourg","Gini coefficient (scale from 0 to 100)","46.3"
"2010","Hungary","Gini coefficient (scale from 0 to 100)","49.3"
"2010","Malta","Gini coefficient (scale from 0 to 100)","42.7"
"2010","Netherlands","Gini coefficient (scale from 0 to 100)","44.2"
"2010","Austria","Gini coefficient (scale from 0 to 100)","47.9"
"2010","Poland","Gini coefficient (scale from 0 to 100)","47.9"
"2010","Portugal","Gini coefficient (scale from 0 to 100)","50.0"
"2010","Romania","Gini coefficient (scale from 0 to 100)","53.2"
"2010","Slovenia","Gini coefficient (scale from 0 to 100)","42.1"
"2010","Slovakia","Gini coefficient (scale from 0 to 100)","43.3"
"2010","Finland","Gini coefficient (scale from 0 to 100)","45.8"
"2010","Sweden","Gini coefficient (scale from 0 to 100)","56.0"
"2010","Iceland","Gini coefficient (scale from 0 to 100)","39.4"
"2010","Norway","Gini coefficient (scale from 0 to 100)","45.8"
"2010","Switzerland","Gini coefficient (scale from 0 to 100)","48.9"
"2010","United Kingdom","Gini coefficient (scale from 0 to 100)","53.6"
"2010","Montenegro","Gini coefficient (scale from 0 to 100)",":"
"2010","North Macedonia","Gini coefficient (scale from 0 to 100)",":"
"2010","Serbia","Gini coefficient (scale from 0 to 100)",":"
"2010","Turkey","Gini coefficient (scale from 0 to 100)","51.0"
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Gini coefficient (scale from 0 to 100)",":"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Gini coefficient (scale from 0 to 100)","50.7"
"2011","European Union - 27 countries (from 2020)","Gini coefficient (scale from 0 to 100)","50.4"
"2011","European Union - 28 countries (2013-2020)","Gini coefficient (scale from 0 to 100)","50.7"
"2011","European Union - 27 countries (2007-2013)","Gini coefficient (scale from 0 to 100)","50.8"
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Gini coefficient (scale from 0 to 100)","50.4"
"2011","Euro area - 19 countries  (from 2015)","Gini coefficient (scale from 0 to 100)","50.4"
"2011","Euro area - 18 countries (2014)","Gini coefficient (scale from 0 to 100)","50.4"
"2011","Belgium","Gini coefficient (scale from 0 to 100)","47.1"
"2011","Bulgaria","Gini coefficient (scale from 0 to 100)","48.1"
"2011","Czechia","Gini coefficient (scale from 0 to 100)","44.1"
"2011","Denmark","Gini coefficient (scale from 0 to 100)","50.8"
"2011","Germany (until 1990 former territory of the FRG)","Gini coefficient (scale from 0 to 100)","55.5"
"2011","Estonia","Gini coefficient (scale from 0 to 100)","48.2"
"2011","Ireland","Gini coefficient (scale from 0 to 100)","54.1"
"2011","Greece","Gini coefficient (scale from 0 to 100)","51.9"
"2011","Spain","Gini coefficient (scale from 0 to 100)","48.8"
"2011","France","Gini coefficient (scale from 0 to 100)","49.7"
"2011","Croatia","Gini coefficient (scale from 0 to 100)","49.4"
"2011","Italy","Gini coefficient (scale from 0 to 100)","48.7"
"2011","Cyprus","Gini coefficient (scale from 0 to 100)","42.3"
"2011","Latvia","Gini coefficient (scale from 0 to 100)","52.3"
"2011","Lithuania","Gini coefficient (scale from 0 to 100)","53.7"
"2011","Luxembourg","Gini coefficient (scale from 0 to 100)","45.7"
"2011","Hungary","Gini coefficient (scale from 0 to 100)","52.7"
"2011","Malta","Gini coefficient (scale from 0 to 100)","42.3"
"2011","Netherlands","Gini coefficient (scale from 0 to 100)","45.8"
"2011","Austria","Gini coefficient (scale from 0 to 100)","47.6"
