"TIME","GEO","SEX","WORKTIME","WSTATUS","NACE_R2","UNIT","Value"
"2008","Lithuania","Females","Total","Employed persons","Total - all NACE activities","Hour","38.4"
"2008","Luxembourg","Total","Total","Employed persons","Total - all NACE activities","Hour","36.7"
"2008","Luxembourg","Males","Total","Employed persons","Total - all NACE activities","Hour","39.6"
"2008","Luxembourg","Females","Total","Employed persons","Total - all NACE activities","Hour","32.9"
"2008","Hungary","Total","Total","Employed persons","Total - all NACE activities","Hour","40.1"
"2008","Hungary","Males","Total","Employed persons","Total - all NACE activities","Hour","40.8"
"2008","Hungary","Females","Total","Employed persons","Total - all NACE activities","Hour","39.3"
"2008","Malta","Total","Total","Employed persons","Total - all NACE activities","Hour","39.0"
"2008","Malta","Males","Total","Employed persons","Total - all NACE activities","Hour","41.2"
"2008","Malta","Females","Total","Employed persons","Total - all NACE activities","Hour","34.8"
"2008","Netherlands","Total","Total","Employed persons","Total - all NACE activities","Hour","31.0"
"2008","Netherlands","Males","Total","Employed persons","Total - all NACE activities","Hour","36.2"
"2008","Netherlands","Females","Total","Employed persons","Total - all NACE activities","Hour","24.6"
"2008","Austria","Total","Total","Employed persons","Total - all NACE activities","Hour","38.4"
"2008","Austria","Males","Total","Employed persons","Total - all NACE activities","Hour","42.7"
"2008","Austria","Females","Total","Employed persons","Total - all NACE activities","Hour","33.4"
"2008","Poland","Total","Total","Employed persons","Total - all NACE activities","Hour","41.0"
"2008","Poland","Males","Total","Employed persons","Total - all NACE activities","Hour","43.1"
"2008","Poland","Females","Total","Employed persons","Total - all NACE activities","Hour","38.4"
"2008","Portugal","Total","Total","Employed persons","Total - all NACE activities","Hour","39.0"
"2008","Portugal","Males","Total","Employed persons","Total - all NACE activities","Hour","40.8"
"2008","Portugal","Females","Total","Employed persons","Total - all NACE activities","Hour","37.0"
"2008","Romania","Total","Total","Employed persons","Total - all NACE activities","Hour","40.5"
"2008","Romania","Males","Total","Employed persons","Total - all NACE activities","Hour","41.2"
"2008","Romania","Females","Total","Employed persons","Total - all NACE activities","Hour","39.7"
"2008","Slovenia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.4"
"2008","Slovenia","Males","Total","Employed persons","Total - all NACE activities","Hour","41.5"
"2008","Slovenia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.2"
"2008","Slovakia","Total","Total","Employed persons","Total - all NACE activities","Hour","41.0"
"2008","Slovakia","Males","Total","Employed persons","Total - all NACE activities","Hour","42.0"
"2008","Slovakia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.6"
"2008","Finland","Total","Total","Employed persons","Total - all NACE activities","Hour","37.6"
"2008","Finland","Males","Total","Employed persons","Total - all NACE activities","Hour","39.6"
"2008","Finland","Females","Total","Employed persons","Total - all NACE activities","Hour","35.4"
"2008","Sweden","Total","Total","Employed persons","Total - all NACE activities","Hour","36.4"
"2008","Sweden","Males","Total","Employed persons","Total - all NACE activities","Hour","38.6"
"2008","Sweden","Females","Total","Employed persons","Total - all NACE activities","Hour","33.9"
"2008","Iceland","Total","Total","Employed persons","Total - all NACE activities","Hour","40.9"
"2008","Iceland","Males","Total","Employed persons","Total - all NACE activities","Hour","45.6"
"2008","Iceland","Females","Total","Employed persons","Total - all NACE activities","Hour","35.4"
"2008","Norway","Total","Total","Employed persons","Total - all NACE activities","Hour","33.7"
"2008","Norway","Males","Total","Employed persons","Total - all NACE activities","Hour","36.5"
"2008","Norway","Females","Total","Employed persons","Total - all NACE activities","Hour","30.5"
"2008","Switzerland","Total","Total","Employed persons","Total - all NACE activities","Hour","34.9"
"2008","Switzerland","Males","Total","Employed persons","Total - all NACE activities","Hour","40.3"
"2008","Switzerland","Females","Total","Employed persons","Total - all NACE activities","Hour","28.5"
"2008","United Kingdom","Total","Total","Employed persons","Total - all NACE activities","Hour","36.9"
"2008","United Kingdom","Males","Total","Employed persons","Total - all NACE activities","Hour","41.6"
"2008","United Kingdom","Females","Total","Employed persons","Total - all NACE activities","Hour","31.5"
"2008","Montenegro","Total","Total","Employed persons","Total - all NACE activities","Hour",":"
"2008","Montenegro","Males","Total","Employed persons","Total - all NACE activities","Hour",":"
"2008","Montenegro","Females","Total","Employed persons","Total - all NACE activities","Hour",":"
"2008","North Macedonia","Total","Total","Employed persons","Total - all NACE activities","Hour","44.1"
"2008","North Macedonia","Males","Total","Employed persons","Total - all NACE activities","Hour","44.8"
"2008","North Macedonia","Females","Total","Employed persons","Total - all NACE activities","Hour","42.9"
"2008","Serbia","Total","Total","Employed persons","Total - all NACE activities","Hour",":"
"2008","Serbia","Males","Total","Employed persons","Total - all NACE activities","Hour",":"
"2008","Serbia","Females","Total","Employed persons","Total - all NACE activities","Hour",":"
"2008","Turkey","Total","Total","Employed persons","Total - all NACE activities","Hour","50.5"
"2008","Turkey","Males","Total","Employed persons","Total - all NACE activities","Hour","53.2"
"2008","Turkey","Females","Total","Employed persons","Total - all NACE activities","Hour","43.2"
"2009","European Union - 27 countries (from 2020)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.8"
"2009","European Union - 27 countries (from 2020)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.8"
"2009","European Union - 27 countries (from 2020)","Females","Total","Employed persons","Total - all NACE activities","Hour","34.3"
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.7"
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.9"
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Total - all NACE activities","Hour","33.9"
"2009","European Union - 15 countries (1995-2004)","Total","Total","Employed persons","Total - all NACE activities","Hour","36.9"
"2009","European Union - 15 countries (1995-2004)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.6"
"2009","European Union - 15 countries (1995-2004)","Females","Total","Employed persons","Total - all NACE activities","Hour","32.6"
"2009","Euro area - 19 countries  (from 2015)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.2"
"2009","Euro area - 19 countries  (from 2015)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.6"
"2009","Euro area - 19 countries  (from 2015)","Females","Total","Employed persons","Total - all NACE activities","Hour","33.1"
"2009","Belgium","Total","Total","Employed persons","Total - all NACE activities","Hour","36.8"
"2009","Belgium","Males","Total","Employed persons","Total - all NACE activities","Hour","40.2"
"2009","Belgium","Females","Total","Employed persons","Total - all NACE activities","Hour","32.8"
"2009","Bulgaria","Total","Total","Employed persons","Total - all NACE activities","Hour","41.4"
"2009","Bulgaria","Males","Total","Employed persons","Total - all NACE activities","Hour","41.8"
"2009","Bulgaria","Females","Total","Employed persons","Total - all NACE activities","Hour","40.9"
"2009","Czechia","Total","Total","Employed persons","Total - all NACE activities","Hour","41.5"
"2009","Czechia","Males","Total","Employed persons","Total - all NACE activities","Hour","43.1"
"2009","Czechia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.2"
"2009","Denmark","Total","Total","Employed persons","Total - all NACE activities","Hour","33.9"
"2009","Denmark","Males","Total","Employed persons","Total - all NACE activities","Hour","36.0"
"2009","Denmark","Females","Total","Employed persons","Total - all NACE activities","Hour","31.6"
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.7"
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.1"
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Total - all NACE activities","Hour","30.5"
"2009","Estonia","Total","Total","Employed persons","Total - all NACE activities","Hour","38.7"
"2009","Estonia","Males","Total","Employed persons","Total - all NACE activities","Hour","40.0"
"2009","Estonia","Females","Total","Employed persons","Total - all NACE activities","Hour","37.5"
"2009","Ireland","Total","Total","Employed persons","Total - all NACE activities","Hour","35.2"
"2009","Ireland","Males","Total","Employed persons","Total - all NACE activities","Hour","39.3"
"2009","Ireland","Females","Total","Employed persons","Total - all NACE activities","Hour","30.9"
"2009","Greece","Total","Total","Employed persons","Total - all NACE activities","Hour","42.4"
"2009","Greece","Males","Total","Employed persons","Total - all NACE activities","Hour","44.5"
"2009","Greece","Females","Total","Employed persons","Total - all NACE activities","Hour","39.3"
"2009","Spain","Total","Total","Employed persons","Total - all NACE activities","Hour","38.8"
"2009","Spain","Males","Total","Employed persons","Total - all NACE activities","Hour","41.5"
"2009","Spain","Females","Total","Employed persons","Total - all NACE activities","Hour","35.5"
"2009","France","Total","Total","Employed persons","Total - all NACE activities","Hour","38.0"
"2009","France","Males","Total","Employed persons","Total - all NACE activities","Hour","41.2"
"2009","France","Females","Total","Employed persons","Total - all NACE activities","Hour","34.5"
"2009","Croatia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.4"
"2009","Croatia","Males","Total","Employed persons","Total - all NACE activities","Hour","41.4"
"2009","Croatia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.2"
"2009","Italy","Total","Total","Employed persons","Total - all NACE activities","Hour","38.0"
"2009","Italy","Males","Total","Employed persons","Total - all NACE activities","Hour","41.0"
"2009","Italy","Females","Total","Employed persons","Total - all NACE activities","Hour","33.5"
"2009","Cyprus","Total","Total","Employed persons","Total - all NACE activities","Hour","40.3"
"2009","Cyprus","Males","Total","Employed persons","Total - all NACE activities","Hour","42.4"
"2009","Cyprus","Females","Total","Employed persons","Total - all NACE activities","Hour","37.8"
"2009","Latvia","Total","Total","Employed persons","Total - all NACE activities","Hour","39.4"
"2009","Latvia","Males","Total","Employed persons","Total - all NACE activities","Hour","40.3"
"2009","Latvia","Females","Total","Employed persons","Total - all NACE activities","Hour","38.6"
"2009","Lithuania","Total","Total","Employed persons","Total - all NACE activities","Hour","38.6"
"2009","Lithuania","Males","Total","Employed persons","Total - all NACE activities","Hour","39.4"
"2009","Lithuania","Females","Total","Employed persons","Total - all NACE activities","Hour","38.0"
"2009","Luxembourg","Total","Total","Employed persons","Total - all NACE activities","Hour","37.2"
"2009","Luxembourg","Males","Total","Employed persons","Total - all NACE activities","Hour","40.5"
"2009","Luxembourg","Females","Total","Employed persons","Total - all NACE activities","Hour","32.7"
"2009","Hungary","Total","Total","Employed persons","Total - all NACE activities","Hour","39.8"
"2009","Hungary","Males","Total","Employed persons","Total - all NACE activities","Hour","40.5"
"2009","Hungary","Females","Total","Employed persons","Total - all NACE activities","Hour","39.1"
"2009","Malta","Total","Total","Employed persons","Total - all NACE activities","Hour","38.9"
"2009","Malta","Males","Total","Employed persons","Total - all NACE activities","Hour","40.8"
"2009","Malta","Females","Total","Employed persons","Total - all NACE activities","Hour","35.0"
"2009","Netherlands","Total","Total","Employed persons","Total - all NACE activities","Hour","30.9"
"2009","Netherlands","Males","Total","Employed persons","Total - all NACE activities","Hour","36.0"
"2009","Netherlands","Females","Total","Employed persons","Total - all NACE activities","Hour","24.8"
"2009","Austria","Total","Total","Employed persons","Total - all NACE activities","Hour","38.0"
"2009","Austria","Males","Total","Employed persons","Total - all NACE activities","Hour","42.4"
"2009","Austria","Females","Total","Employed persons","Total - all NACE activities","Hour","33.0"
"2009","Poland","Total","Total","Employed persons","Total - all NACE activities","Hour","40.7"
"2009","Poland","Males","Total","Employed persons","Total - all NACE activities","Hour","42.7"
"2009","Poland","Females","Total","Employed persons","Total - all NACE activities","Hour","38.3"
"2009","Portugal","Total","Total","Employed persons","Total - all NACE activities","Hour","38.9"
"2009","Portugal","Males","Total","Employed persons","Total - all NACE activities","Hour","40.7"
"2009","Portugal","Females","Total","Employed persons","Total - all NACE activities","Hour","36.9"
"2009","Romania","Total","Total","Employed persons","Total - all NACE activities","Hour","40.4"
"2009","Romania","Males","Total","Employed persons","Total - all NACE activities","Hour","41.0"
"2009","Romania","Females","Total","Employed persons","Total - all NACE activities","Hour","39.6"
"2009","Slovenia","Total","Total","Employed persons","Total - all NACE activities","Hour","39.8"
"2009","Slovenia","Males","Total","Employed persons","Total - all NACE activities","Hour","40.8"
"2009","Slovenia","Females","Total","Employed persons","Total - all NACE activities","Hour","38.6"
"2009","Slovakia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.8"
"2009","Slovakia","Males","Total","Employed persons","Total - all NACE activities","Hour","41.7"
"2009","Slovakia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.6"
"2009","Finland","Total","Total","Employed persons","Total - all NACE activities","Hour","37.3"
"2009","Finland","Males","Total","Employed persons","Total - all NACE activities","Hour","39.3"
"2009","Finland","Females","Total","Employed persons","Total - all NACE activities","Hour","35.2"
"2009","Sweden","Total","Total","Employed persons","Total - all NACE activities","Hour","36.3"
"2009","Sweden","Males","Total","Employed persons","Total - all NACE activities","Hour","38.4"
"2009","Sweden","Females","Total","Employed persons","Total - all NACE activities","Hour","33.9"
"2009","Iceland","Total","Total","Employed persons","Total - all NACE activities","Hour","39.1"
"2009","Iceland","Males","Total","Employed persons","Total - all NACE activities","Hour","43.4"
"2009","Iceland","Females","Total","Employed persons","Total - all NACE activities","Hour","34.4"
"2009","Norway","Total","Total","Employed persons","Total - all NACE activities","Hour","33.6"
"2009","Norway","Males","Total","Employed persons","Total - all NACE activities","Hour","36.4"
"2009","Norway","Females","Total","Employed persons","Total - all NACE activities","Hour","30.5"
"2009","Switzerland","Total","Total","Employed persons","Total - all NACE activities","Hour","34.6"
"2009","Switzerland","Males","Total","Employed persons","Total - all NACE activities","Hour","40.1"
"2009","Switzerland","Females","Total","Employed persons","Total - all NACE activities","Hour","28.1"
"2009","United Kingdom","Total","Total","Employed persons","Total - all NACE activities","Hour","36.6"
"2009","United Kingdom","Males","Total","Employed persons","Total - all NACE activities","Hour","41.2"
"2009","United Kingdom","Females","Total","Employed persons","Total - all NACE activities","Hour","31.3"
"2009","Montenegro","Total","Total","Employed persons","Total - all NACE activities","Hour",":"
"2009","Montenegro","Males","Total","Employed persons","Total - all NACE activities","Hour",":"
"2009","Montenegro","Females","Total","Employed persons","Total - all NACE activities","Hour",":"
"2009","North Macedonia","Total","Total","Employed persons","Total - all NACE activities","Hour","43.7"
"2009","North Macedonia","Males","Total","Employed persons","Total - all NACE activities","Hour","44.4"
"2009","North Macedonia","Females","Total","Employed persons","Total - all NACE activities","Hour","42.6"
"2009","Serbia","Total","Total","Employed persons","Total - all NACE activities","Hour",":"
"2009","Serbia","Males","Total","Employed persons","Total - all NACE activities","Hour",":"
"2009","Serbia","Females","Total","Employed persons","Total - all NACE activities","Hour",":"
"2009","Turkey","Total","Total","Employed persons","Total - all NACE activities","Hour","49.4"
"2009","Turkey","Males","Total","Employed persons","Total - all NACE activities","Hour","52.3"
"2009","Turkey","Females","Total","Employed persons","Total - all NACE activities","Hour","41.6"
"2010","European Union - 27 countries (from 2020)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.7"
"2010","European Union - 27 countries (from 2020)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.7"
"2010","European Union - 27 countries (from 2020)","Females","Total","Employed persons","Total - all NACE activities","Hour","34.2"
"2010","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.5"
"2010","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.7"
"2010","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Total - all NACE activities","Hour","33.7"
"2010","European Union - 15 countries (1995-2004)","Total","Total","Employed persons","Total - all NACE activities","Hour","36.8"
"2010","European Union - 15 countries (1995-2004)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.5"
"2010","European Union - 15 countries (1995-2004)","Females","Total","Employed persons","Total - all NACE activities","Hour","32.5"
"2010","Euro area - 19 countries  (from 2015)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.1"
"2010","Euro area - 19 countries  (from 2015)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.5"
"2010","Euro area - 19 countries  (from 2015)","Females","Total","Employed persons","Total - all NACE activities","Hour","33.0"
"2010","Belgium","Total","Total","Employed persons","Total - all NACE activities","Hour","36.9"
"2010","Belgium","Males","Total","Employed persons","Total - all NACE activities","Hour","40.4"
"2010","Belgium","Females","Total","Employed persons","Total - all NACE activities","Hour","32.8"
"2010","Bulgaria","Total","Total","Employed persons","Total - all NACE activities","Hour","41.2"
"2010","Bulgaria","Males","Total","Employed persons","Total - all NACE activities","Hour","41.5"
"2010","Bulgaria","Females","Total","Employed persons","Total - all NACE activities","Hour","40.8"
"2010","Czechia","Total","Total","Employed persons","Total - all NACE activities","Hour","41.2"
"2010","Czechia","Males","Total","Employed persons","Total - all NACE activities","Hour","42.9"
"2010","Czechia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.1"
"2010","Denmark","Total","Total","Employed persons","Total - all NACE activities","Hour","33.9"
"2010","Denmark","Males","Total","Employed persons","Total - all NACE activities","Hour","36.1"
"2010","Denmark","Females","Total","Employed persons","Total - all NACE activities","Hour","31.4"
"2010","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.7"
"2010","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.1"
"2010","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Total - all NACE activities","Hour","30.5"
"2010","Estonia","Total","Total","Employed persons","Total - all NACE activities","Hour","38.7"
"2010","Estonia","Males","Total","Employed persons","Total - all NACE activities","Hour","40.1"
"2010","Estonia","Females","Total","Employed persons","Total - all NACE activities","Hour","37.4"
"2010","Ireland","Total","Total","Employed persons","Total - all NACE activities","Hour","35.0"
"2010","Ireland","Males","Total","Employed persons","Total - all NACE activities","Hour","39.1"
"2010","Ireland","Females","Total","Employed persons","Total - all NACE activities","Hour","30.8"
"2010","Greece","Total","Total","Employed persons","Total - all NACE activities","Hour","42.2"
"2010","Greece","Males","Total","Employed persons","Total - all NACE activities","Hour","44.2"
"2010","Greece","Females","Total","Employed persons","Total - all NACE activities","Hour","39.3"
"2010","Spain","Total","Total","Employed persons","Total - all NACE activities","Hour","38.7"
"2010","Spain","Males","Total","Employed persons","Total - all NACE activities","Hour","41.3"
"2010","Spain","Females","Total","Employed persons","Total - all NACE activities","Hour","35.4"
"2010","France","Total","Total","Employed persons","Total - all NACE activities","Hour","38.0"
"2010","France","Males","Total","Employed persons","Total - all NACE activities","Hour","41.0"
"2010","France","Females","Total","Employed persons","Total - all NACE activities","Hour","34.6"
"2010","Croatia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.2"
"2010","Croatia","Males","Total","Employed persons","Total - all NACE activities","Hour","41.2"
"2010","Croatia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.0"
"2010","Italy","Total","Total","Employed persons","Total - all NACE activities","Hour","37.8"
"2010","Italy","Males","Total","Employed persons","Total - all NACE activities","Hour","40.9"
"2010","Italy","Females","Total","Employed persons","Total - all NACE activities","Hour","33.3"
"2010","Cyprus","Total","Total","Employed persons","Total - all NACE activities","Hour","40.1"
"2010","Cyprus","Males","Total","Employed persons","Total - all NACE activities","Hour","42.0"
"2010","Cyprus","Females","Total","Employed persons","Total - all NACE activities","Hour","38.0"
"2010","Latvia","Total","Total","Employed persons","Total - all NACE activities","Hour","38.8"
"2010","Latvia","Males","Total","Employed persons","Total - all NACE activities","Hour","39.5"
"2010","Latvia","Females","Total","Employed persons","Total - all NACE activities","Hour","38.1"
"2010","Lithuania","Total","Total","Employed persons","Total - all NACE activities","Hour","38.4"
"2010","Lithuania","Males","Total","Employed persons","Total - all NACE activities","Hour","39.0"
"2010","Lithuania","Females","Total","Employed persons","Total - all NACE activities","Hour","37.8"
"2010","Luxembourg","Total","Total","Employed persons","Total - all NACE activities","Hour","37.2"
"2010","Luxembourg","Males","Total","Employed persons","Total - all NACE activities","Hour","40.5"
"2010","Luxembourg","Females","Total","Employed persons","Total - all NACE activities","Hour","32.8"
"2010","Hungary","Total","Total","Employed persons","Total - all NACE activities","Hour","39.7"
"2010","Hungary","Males","Total","Employed persons","Total - all NACE activities","Hour","40.5"
"2010","Hungary","Females","Total","Employed persons","Total - all NACE activities","Hour","38.9"
"2010","Malta","Total","Total","Employed persons","Total - all NACE activities","Hour","38.9"
"2010","Malta","Males","Total","Employed persons","Total - all NACE activities","Hour","41.0"
"2010","Malta","Females","Total","Employed persons","Total - all NACE activities","Hour","34.8"
"2010","Netherlands","Total","Total","Employed persons","Total - all NACE activities","Hour","30.7"
"2010","Netherlands","Males","Total","Employed persons","Total - all NACE activities","Hour","35.9"
"2010","Netherlands","Females","Total","Employed persons","Total - all NACE activities","Hour","24.5"
"2010","Austria","Total","Total","Employed persons","Total - all NACE activities","Hour","37.7"
"2010","Austria","Males","Total","Employed persons","Total - all NACE activities","Hour","42.0"
"2010","Austria","Females","Total","Employed persons","Total - all NACE activities","Hour","32.8"
"2010","Poland","Total","Total","Employed persons","Total - all NACE activities","Hour","40.6"
"2010","Poland","Males","Total","Employed persons","Total - all NACE activities","Hour","42.5"
"2010","Poland","Females","Total","Employed persons","Total - all NACE activities","Hour","38.2"
"2010","Portugal","Total","Total","Employed persons","Total - all NACE activities","Hour","38.9"
"2010","Portugal","Males","Total","Employed persons","Total - all NACE activities","Hour","40.5"
"2010","Portugal","Females","Total","Employed persons","Total - all NACE activities","Hour","37.1"
"2010","Romania","Total","Total","Employed persons","Total - all NACE activities","Hour","40.2"
"2010","Romania","Males","Total","Employed persons","Total - all NACE activities","Hour","40.7"
"2010","Romania","Females","Total","Employed persons","Total - all NACE activities","Hour","39.5"
"2010","Slovenia","Total","Total","Employed persons","Total - all NACE activities","Hour","39.4"
"2010","Slovenia","Males","Total","Employed persons","Total - all NACE activities","Hour","40.4"
"2010","Slovenia","Females","Total","Employed persons","Total - all NACE activities","Hour","38.1"
"2010","Slovakia","Total","Total","Employed persons","Total - all NACE activities","Hour","40.6"
"2010","Slovakia","Males","Total","Employed persons","Total - all NACE activities","Hour","41.5"
"2010","Slovakia","Females","Total","Employed persons","Total - all NACE activities","Hour","39.4"
"2010","Finland","Total","Total","Employed persons","Total - all NACE activities","Hour","37.3"
"2010","Finland","Males","Total","Employed persons","Total - all NACE activities","Hour","39.3"
"2010","Finland","Females","Total","Employed persons","Total - all NACE activities","Hour","35.1"
"2010","Sweden","Total","Total","Employed persons","Total - all NACE activities","Hour","36.3"
"2010","Sweden","Males","Total","Employed persons","Total - all NACE activities","Hour","38.4"
"2010","Sweden","Females","Total","Employed persons","Total - all NACE activities","Hour","34.0"
"2010","Iceland","Total","Total","Employed persons","Total - all NACE activities","Hour","38.8"
"2010","Iceland","Males","Total","Employed persons","Total - all NACE activities","Hour","43.0"
"2010","Iceland","Females","Total","Employed persons","Total - all NACE activities","Hour","34.3"
"2010","Norway","Total","Total","Employed persons","Total - all NACE activities","Hour","33.6"
"2010","Norway","Males","Total","Employed persons","Total - all NACE activities","Hour","36.2"
"2010","Norway","Females","Total","Employed persons","Total - all NACE activities","Hour","30.6"
"2010","Switzerland","Total","Total","Employed persons","Total - all NACE activities","Hour","35.2"
