"TIME","GEO","ISCED11","AGE","SEX","Value"
"2003","Denmark","All ISCED 2011 levels ","18 years or over","Males","15.9"
"2003","Denmark","All ISCED 2011 levels ","18 years or over","Females","17.9"
"2003","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total","21.2"
"2003","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males","19.3"
"2003","Denmark","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females","22.7"
"2003","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total","16.6"
"2003","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males","15.1"
"2003","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females","18.4"
"2003","Denmark","Tertiary education (levels 5-8)","18 years or over","Total","10.8"
"2003","Denmark","Tertiary education (levels 5-8)","18 years or over","Males","12.6"
"2003","Denmark","Tertiary education (levels 5-8)","18 years or over","Females","9.2"
"2003","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Germany (until 1990 former territory of the FRG)","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Germany (until 1990 former territory of the FRG)","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Germany (until 1990 former territory of the FRG)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Germany (until 1990 former territory of the FRG)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Germany (until 1990 former territory of the FRG)","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Germany (until 1990 former territory of the FRG)","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Germany (until 1990 former territory of the FRG)","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Germany (until 1990 former territory of the FRG)","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Estonia","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Estonia","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Estonia","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Estonia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Estonia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Estonia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Estonia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Estonia","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Estonia","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Estonia","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Ireland","All ISCED 2011 levels ","18 years or over","Total","23.8"
"2003","Ireland","All ISCED 2011 levels ","18 years or over","Males","21.9"
"2003","Ireland","All ISCED 2011 levels ","18 years or over","Females","25.6"
"2003","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total","36.5"
"2003","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males","33.2"
"2003","Ireland","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females","40.4"
"2003","Ireland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total","16.7"
"2003","Ireland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males","13.5"
"2003","Ireland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females","19.2"
"2003","Ireland","Tertiary education (levels 5-8)","18 years or over","Total","9.9"
"2003","Ireland","Tertiary education (levels 5-8)","18 years or over","Males","8.9"
"2003","Ireland","Tertiary education (levels 5-8)","18 years or over","Females","10.8"
"2003","Greece","All ISCED 2011 levels ","18 years or over","Total","33.2"
"2003","Greece","All ISCED 2011 levels ","18 years or over","Males","31.4"
"2003","Greece","All ISCED 2011 levels ","18 years or over","Females","34.9"
"2003","Greece","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total","44.5"
"2003","Greece","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males","42.9"
"2003","Greece","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females","45.9"
"2003","Greece","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total","26.0"
"2003","Greece","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males","24.6"
"2003","Greece","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females","27.4"
"2003","Greece","Tertiary education (levels 5-8)","18 years or over","Total","13.5"
"2003","Greece","Tertiary education (levels 5-8)","18 years or over","Males","12.1"
"2003","Greece","Tertiary education (levels 5-8)","18 years or over","Females","15.0"
"2003","Spain","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Spain","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Spain","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Spain","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Spain","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Spain","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Spain","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Spain","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Spain","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Spain","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Spain","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Spain","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","France","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","France","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","France","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","France","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","France","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","France","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","France","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","France","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","France","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","France","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","France","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","France","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Croatia","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Croatia","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Croatia","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Croatia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Croatia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Croatia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Croatia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Croatia","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Croatia","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Croatia","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Italy","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Italy","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Italy","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Italy","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Italy","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Italy","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Italy","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Italy","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Italy","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Italy","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Italy","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Italy","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Cyprus","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Cyprus","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Cyprus","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Cyprus","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Cyprus","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Cyprus","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Cyprus","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Cyprus","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Cyprus","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Cyprus","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Latvia","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Latvia","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Latvia","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Latvia","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Latvia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Latvia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Latvia","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Latvia","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Latvia","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Latvia","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Lithuania","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Lithuania","All ISCED 2011 levels ","18 years or over","Males",":"
"2003","Lithuania","All ISCED 2011 levels ","18 years or over","Females",":"
"2003","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total",":"
"2003","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males",":"
"2003","Lithuania","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females",":"
"2003","Lithuania","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total",":"
"2003","Lithuania","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males",":"
"2003","Lithuania","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females",":"
"2003","Lithuania","Tertiary education (levels 5-8)","18 years or over","Total",":"
"2003","Lithuania","Tertiary education (levels 5-8)","18 years or over","Males",":"
"2003","Lithuania","Tertiary education (levels 5-8)","18 years or over","Females",":"
"2003","Luxembourg","All ISCED 2011 levels ","18 years or over","Total","14.4"
"2003","Luxembourg","All ISCED 2011 levels ","18 years or over","Males","12.2"
"2003","Luxembourg","All ISCED 2011 levels ","18 years or over","Females","16.6"
"2003","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Total","19.6"
"2003","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Males","18.8"
"2003","Luxembourg","Less than primary, primary and lower secondary education (levels 0-2)","18 years or over","Females","20.3"
"2003","Luxembourg","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Total","12.8"
"2003","Luxembourg","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Males","10.0"
"2003","Luxembourg","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","18 years or over","Females","16.2"
"2003","Luxembourg","Tertiary education (levels 5-8)","18 years or over","Total","5.5"
"2003","Luxembourg","Tertiary education (levels 5-8)","18 years or over","Males","5.0"
"2003","Luxembourg","Tertiary education (levels 5-8)","18 years or over","Females","6.1"
"2003","Hungary","All ISCED 2011 levels ","18 years or over","Total",":"
"2003","Hungary","All ISCED 2011 levels ","18 years or over","Males",":"
