"TIME","GEO","SEX","AGE","UNIT","ISCED11","Value"
"1992","Greece","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","28.9"
"1992","Greece","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","8.7"
"1992","Spain","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","72.0"
"1992","Spain","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","28.0"
"1992","Spain","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","16.9"
"1992","Spain","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","11.1"
"1992","Spain","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","70.8"
"1992","Spain","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","29.2"
"1992","Spain","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","17.2"
"1992","Spain","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","12.0"
"1992","Spain","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","73.1"
"1992","Spain","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","26.9"
"1992","Spain","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","16.6"
"1992","Spain","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","10.3"
"1992","France","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","France","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","France","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","France","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","France","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","France","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","France","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","France","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","France","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","France","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","France","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","France","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Croatia","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Croatia","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Croatia","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Croatia","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Croatia","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Croatia","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Croatia","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Croatia","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Croatia","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Croatia","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Croatia","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Croatia","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Italy","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","66.6"
"1992","Italy","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","33.4"
"1992","Italy","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","28.0"
"1992","Italy","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","5.5"
"1992","Italy","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","65.0"
"1992","Italy","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","35.0"
"1992","Italy","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","28.7"
"1992","Italy","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","6.2"
"1992","Italy","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","68.1"
"1992","Italy","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","31.9"
"1992","Italy","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","27.2"
"1992","Italy","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","4.8"
"1992","Cyprus","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Cyprus","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Cyprus","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Cyprus","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Cyprus","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Cyprus","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Cyprus","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Cyprus","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Cyprus","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Cyprus","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Cyprus","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Cyprus","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Latvia","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Latvia","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Latvia","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Latvia","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Latvia","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Latvia","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Latvia","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Latvia","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Latvia","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Latvia","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Latvia","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Latvia","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Lithuania","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Lithuania","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Lithuania","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Lithuania","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Lithuania","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Lithuania","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Lithuania","Males","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Lithuania","Males","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Lithuania","Females","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)",":"
"1992","Lithuania","Females","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",":"
"1992","Lithuania","Females","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)",":"
"1992","Lithuania","Females","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)",":"
"1992","Luxembourg","Total","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","65.2"
"1992","Luxembourg","Total","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","34.8"
"1992","Luxembourg","Total","From 15 to 64 years","Percentage","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","24.1"
"1992","Luxembourg","Total","From 15 to 64 years","Percentage","Tertiary education (levels 5-8)","10.8"
"1992","Luxembourg","Males","From 15 to 64 years","Percentage","Less than primary, primary and lower secondary education (levels 0-2)","59.7"
"1992","Luxembourg","Males","From 15 to 64 years","Percentage","Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)","40.3"
