"TIME","GEO","UNIT","NACE_R2","INDIC_SE","Value","Flag and Footnotes"
"2005","Portugal","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Portugal","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Romania","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Romania","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Romania","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Romania","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Slovenia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Slovenia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Slovenia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Slovenia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Slovakia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Slovakia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Slovakia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Slovakia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Finland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Finland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Finland","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Finland","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Sweden","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Sweden","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Sweden","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Sweden","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Iceland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Iceland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Iceland","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Iceland","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Norway","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Norway","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Norway","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Norway","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","United Kingdom","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","United Kingdom","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","United Kingdom","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","United Kingdom","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Montenegro","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Montenegro","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Montenegro","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Montenegro","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Albania","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Albania","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Albania","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Albania","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Serbia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Serbia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Serbia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Serbia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Turkey","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Turkey","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","Turkey","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","Turkey","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","United States","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","United States","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2005","United States","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2005","United States","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Belgium","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Belgium","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Belgium","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Belgium","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Bulgaria","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Bulgaria","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Bulgaria","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Bulgaria","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Czechia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Czechia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Czechia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Czechia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Denmark","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Denmark","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Denmark","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Denmark","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Germany (until 1990 former territory of the FRG)","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Germany (until 1990 former territory of the FRG)","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Germany (until 1990 former territory of the FRG)","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Germany (until 1990 former territory of the FRG)","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Estonia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Estonia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Estonia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Estonia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Ireland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Ireland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Ireland","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Ireland","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Greece","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Greece","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Greece","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Greece","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Spain","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Spain","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Spain","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Spain","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","France","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","France","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","France","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","France","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Croatia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Croatia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Croatia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Croatia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Italy","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Italy","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Italy","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Italy","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Cyprus","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Cyprus","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Cyprus","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Cyprus","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Latvia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Latvia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Latvia","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Latvia","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Lithuania","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Lithuania","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Lithuania","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Lithuania","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Luxembourg","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Luxembourg","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Luxembourg","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Luxembourg","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Hungary","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Hungary","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Hungary","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Hungary","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Malta","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings","50.5",""
"2006","Malta","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings","56.6",""
"2006","Malta","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings","52.4",""
"2006","Malta","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings","60.0",""
"2006","Netherlands","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Netherlands","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Netherlands","Percentage","Business economy","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
"2006","Netherlands","Percentage","Business economy","Monthly minimum wage as a proportion of the median gross monthly earnings",":",""
"2006","Austria","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","Monthly minimum wage as a proportion of the mean gross monthly earnings",":",""
