"TIME","GEO","UNIT","NA_ITEM","Value"
"1975","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Liechtenstein","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Norway","Current prices, euro per capita","Gross domestic product at market prices","6,630"
"1975","Norway","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","45.1"
"1975","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Switzerland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","United Kingdom","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Montenegro","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","North Macedonia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Albania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Albania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Serbia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Turkey","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1975","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1975","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","European Union - 27 countries (from 2020)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","European Union - 27 countries (from 2020)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","European Union - 28 countries (2013-2020)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","European Union - 28 countries (2013-2020)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","European Union - 15 countries (1995-2004)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","European Union - 15 countries (1995-2004)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Euro area - 19 countries  (from 2015)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Euro area - 19 countries  (from 2015)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Euro area - 12 countries (2001-2006)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Euro area - 12 countries (2001-2006)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Belgium","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Bulgaria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Czechia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Denmark","Current prices, euro per capita","Gross domestic product at market prices","7,860"
"1976","Denmark","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","58.8"
"1976","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Germany (until 1990 former territory of the FRG)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Estonia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Ireland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Greece","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Greece","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Spain","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Spain","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","France","Current prices, euro per capita","Gross domestic product at market prices","6,180"
"1976","France","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","59.5"
"1976","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Croatia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Italy","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Italy","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Cyprus","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Latvia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Lithuania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Luxembourg","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Hungary","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Malta","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Malta","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Netherlands","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Austria","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Austria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Poland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Poland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Portugal","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Romania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Romania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Slovenia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Slovakia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Finland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Finland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Sweden","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Iceland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Liechtenstein","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Norway","Current prices, euro per capita","Gross domestic product at market prices","7,990"
"1976","Norway","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","47.5"
"1976","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Switzerland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","United Kingdom","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Montenegro","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","North Macedonia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Albania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Albania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Serbia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Turkey","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1976","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1976","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","European Union - 27 countries (from 2020)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","European Union - 27 countries (from 2020)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","European Union - 28 countries (2013-2020)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","European Union - 28 countries (2013-2020)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","European Union - 15 countries (1995-2004)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","European Union - 15 countries (1995-2004)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Euro area - 19 countries  (from 2015)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Euro area - 19 countries  (from 2015)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Euro area - 12 countries (2001-2006)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Euro area - 12 countries (2001-2006)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Belgium","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Bulgaria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Czechia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Denmark","Current prices, euro per capita","Gross domestic product at market prices","8,570"
"1977","Denmark","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","59.7"
"1977","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Germany (until 1990 former territory of the FRG)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Estonia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Ireland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Greece","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Greece","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Spain","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Spain","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","France","Current prices, euro per capita","Gross domestic product at market prices","6,600"
"1977","France","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","61.3"
"1977","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Croatia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Italy","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Italy","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Cyprus","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Latvia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Lithuania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Luxembourg","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Hungary","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Malta","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Malta","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Netherlands","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Austria","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Austria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Poland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Poland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Portugal","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Portugal","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Romania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Romania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Slovenia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Slovenia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Slovakia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Slovakia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Finland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Finland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Sweden","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Sweden","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Iceland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Iceland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Liechtenstein","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Norway","Current prices, euro per capita","Gross domestic product at market prices","9,000"
"1977","Norway","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","49.3"
"1977","Switzerland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Switzerland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","United Kingdom","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Montenegro","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Montenegro","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","North Macedonia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","North Macedonia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Albania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Albania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Serbia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Serbia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Turkey","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Turkey","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1977","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1977","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","European Union - 27 countries (from 2020)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","European Union - 27 countries (from 2020)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","European Union - 28 countries (2013-2020)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","European Union - 28 countries (2013-2020)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","European Union - 15 countries (1995-2004)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","European Union - 15 countries (1995-2004)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Euro area - 19 countries  (from 2015)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Euro area - 19 countries  (from 2015)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Euro area - 12 countries (2001-2006)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Euro area - 12 countries (2001-2006)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Belgium","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Belgium","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Bulgaria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Czechia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Czechia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Denmark","Current prices, euro per capita","Gross domestic product at market prices","9,290"
"1978","Denmark","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","60.8"
"1978","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Germany (until 1990 former territory of the FRG)","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Estonia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Estonia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Ireland","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Ireland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Greece","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Greece","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Spain","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Spain","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","France","Current prices, euro per capita","Gross domestic product at market prices","7,290"
"1978","France","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","63.5"
"1978","Croatia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Croatia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Italy","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Italy","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Cyprus","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Cyprus","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Latvia","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Latvia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Lithuania","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Lithuania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Luxembourg","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Hungary","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Hungary","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Malta","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Malta","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Netherlands","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Netherlands","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Austria","Current prices, euro per capita","Gross domestic product at market prices",":"
"1978","Austria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"1978","Poland","Current prices, euro per capita","Gross domestic product at market prices",":"
